Time	1st	2nd	3rd	4th	5th
0	4	4	-102.4	-102.4	-102.4
0.002	3.2	3.2	-102.4	-102.4	-102.4
0.004	4	3.2	-102.4	-102.4	-102.4
0.006	3.2	3.2	-102.4	-102.4	-102.4
0.008	3.2	4	-102.4	-102.4	-102.4
0.01	2.4	2.4	-102.4	-102.4	-102.4
0.012	4	2.4	-102.4	-102.4	-102.4
0.014	4	3.2	-102.4	-102.4	-102.4
0.016	3.2	4	-102.4	-102.4	-102.4
0.018	3.2	3.2	-102.4	-102.4	-102.4
0.02	3.2	4	-102.4	-102.4	-102.4
0.022	4	4	-102.4	-102.4	-102.4
0.024	3.2	3.2	-102.4	-102.4	-102.4
0.026	3.2	3.2	-102.4	-102.4	-102.4
0.028	4	4	-102.4	-102.4	-102.4
0.03	4	4	-102.4	-102.4	-102.4
0.032	3.2	4	-102.4	-102.4	-102.4
0.034	3.2	3.2	-102.4	-102.4	-102.4
0.036	3.2	4	-102.4	-102.4	-102.4
0.038	3.2	3.2	-102.4	-102.4	-102.4
0.04	2.4	4	-102.4	-102.4	-102.4
0.042	3.2	4	-102.4	-102.4	-102.4
0.044	3.2	3.2	-102.4	-102.4	-102.4
0.046	3.2	4	-102.4	-102.4	-102.4
0.048	2.4	3.2	-102.4	-102.4	-102.4
0.05	3.2	3.2	-102.4	-102.4	-102.4
0.052	3.2	3.2	-102.4	-102.4	-102.4
0.054	2.4	3.2	-102.4	-102.4	-102.4
0.056	4	3.2	-102.4	-102.4	-102.4
0.058	3.2	2.4	-102.4	-102.4	-102.4
0.06	3.2	4	-102.4	-102.4	3.2
0.062	2.4	-102.4	-102.4	-102.4	3.2
0.064	2.4	-102.4	-102.4	-102.4	3.2
0.066	4	-102.4	-102.4	-102.4	4
0.068	3.2	-102.4	-102.4	-102.4	3.2
0.07	4	-102.4	-102.4	-102.4	3.2
0.072	3.2	-102.4	-102.4	-102.4	3.2
0.074	3.2	-102.4	-102.4	-102.4	3.2
0.076	4	-102.4	-102.4	-102.4	4
0.078	3.2	-102.4	-102.4	-102.4	3.2
0.08	4	-102.4	-102.4	-102.4	1.6
0.082	4	-102.4	-102.4	-102.4	3.2
0.084	3.2	-102.4	-102.4	-102.4	4
0.086	3.2	-102.4	-102.4	-102.4	4
0.088	2.4	-102.4	-102.4	-102.4	3.2
0.09	3.2	-102.4	-102.4	-102.4	3.2
0.092	3.2	-102.4	-102.4	-102.4	4
0.094	3.2	-102.4	-102.4	-102.4	3.2
0.096	3.2	-102.4	-102.4	-102.4	4
0.098	3.2	-102.4	-102.4	-102.4	4
0.1	3.2	-102.4	-102.4	-102.4	4
0.102	4	-102.4	-102.4	-102.4	3.2
0.104	4	-102.4	-102.4	-102.4	4
0.106	3.2	-102.4	-102.4	-102.4	3.2
0.108	4	-102.4	-102.4	-102.4	4
0.11	4	-102.4	-102.4	-102.4	4
0.112	4	-102.4	-102.4	-102.4	4
0.114	4	-102.4	-102.4	-102.4	3.2
