Time	1st	2nd	3rd	4th	5th
0	3.2	-102.4	3.2	-102.4	-102.4
0.002	4	-102.4	1.6	-102.4	-102.4
0.004	3.2	-102.4	3.2	-102.4	-102.4
0.006	4	-102.4	3.2	-102.4	-102.4
0.008	3.2	-102.4	2.4	-102.4	-102.4
0.01	3.2	-102.4	2.4	-102.4	-102.4
0.012	4	-102.4	2.4	-102.4	-102.4
0.014	3.2	-102.4	3.2	-102.4	-102.4
0.016	4.8	-102.4	4	-102.4	-102.4
0.018	3.2	-102.4	3.2	-102.4	-102.4
0.02	3.2	-102.4	2.4	-102.4	-102.4
0.022	3.2	-102.4	3.2	-102.4	-102.4
0.024	3.2	-102.4	3.2	-102.4	-102.4
0.026	4	-102.4	4	-102.4	-102.4
0.028	4	-102.4	2.4	-102.4	-102.4
0.03	3.2	-102.4	3.2	-102.4	-102.4
0.032	3.2	-102.4	3.2	-102.4	-102.4
0.034	3.2	-102.4	3.2	-102.4	-102.4
0.036	3.2	-102.4	3.2	-102.4	-102.4
0.038	4	-102.4	2.4	-102.4	-102.4
0.04	4	-102.4	2.4	-102.4	-102.4
0.042	3.2	-102.4	3.2	-102.4	-102.4
0.044	4	-102.4	3.2	-102.4	-102.4
0.046	4.8	-102.4	3.2	-102.4	-102.4
0.048	3.2	-102.4	4	-102.4	-102.4
0.05	3.2	-102.4	3.2	-102.4	-102.4
0.052	3.2	-102.4	2.4	-102.4	-102.4
0.054	4	-102.4	2.4	-102.4	-102.4
0.056	3.2	-102.4	3.2	-102.4	-102.4
0.058	3.2	-102.4	2.4	-102.4	-102.4
0.06	4	-102.4	3.2	-102.4	-102.4
0.062	4	-102.4	3.2	-102.4	-102.4
0.064	4	-102.4	3.2	-102.4	-102.4
0.066	3.2	-102.4	3.2	-102.4	-102.4
0.068	3.2	-102.4	3.2	-102.4	-102.4
0.07	3.2	-102.4	2.4	-102.4	1.6
0.072	3.2	-102.4	3.2	-102.4	3.2
0.074	3.2	-102.4	3.2	-102.4	3.2
0.076	3.2	-102.4	3.2	-102.4	3.2
0.078	3.2	-102.4	2.4	-102.4	3.2
0.08	4	-102.4	3.2	-102.4	2.4
0.082	4	-102.4	2.4	-102.4	3.2
0.084	4	-102.4	3.2	-102.4	2.4
0.086	3.2	-102.4	2.4	-102.4	2.4
0.088	4	-102.4	3.2	-102.4	2.4
0.09	4	-102.4	2.4	-102.4	3.2
0.092	4	-102.4	2.4	-102.4	3.2
0.094	3.2	-102.4	2.4	-102.4	3.2
