Time	1st	2nd	3rd	4th	5th
0	4	2.4	-102.4	2.4	-102.4
0.002	4	2.4	-102.4	3.2	-102.4
0.004	4	3.2	-102.4	1.6	-102.4
0.006	4	1.6	-102.4	2.4	-102.4
0.008	4	1.6	-102.4	2.4	-102.4
0.01	4	3.2	-102.4	2.4	-102.4
0.012	4	2.4	-102.4	3.2	-102.4
0.014	4	1.6	-102.4	3.2	-102.4
0.016	4	1.6	-102.4	1.6	-102.4
0.018	4	2.4	-102.4	3.2	-102.4
0.02	3.2	1.6	-102.4	2.4	-102.4
0.022	4	3.2	-102.4	2.4	-102.4
0.024	4	2.4	-102.4	2.4	-102.4
0.026	4	2.4	-102.4	1.6	-102.4
0.028	4	2.4	-102.4	2.4	-102.4
0.03	4	2.4	-102.4	3.2	-102.4
0.032	3.2	2.4	-102.4	2.4	-102.4
0.034	4	2.4	-102.4	2.4	-102.4
0.036	3.2	1.6	-102.4	2.4	-102.4
0.038	4	1.6	-102.4	2.4	-102.4
0.04	3.2	2.4	-102.4	2.4	-102.4
0.042	4	2.4	-102.4	2.4	-102.4
0.044	4	2.4	-102.4	2.4	-102.4
0.046	3.2	2.4	-102.4	2.4	-102.4
0.048	4	2.4	-102.4	1.6	-102.4
0.05	3.2	2.4	-102.4	1.6	-102.4
0.052	3.2	1.6	-102.4	2.4	-102.4
0.054	4	3.2	-102.4	2.4	-102.4
0.056	4	2.4	-102.4	2.4	-102.4
0.058	4	2.4	-102.4	3.2	-102.4
0.06	4	2.4	-102.4	2.4	-102.4
0.062	4	2.4	-102.4	2.4	-102.4
0.064	4	2.4	-102.4	2.4	-102.4
0.066	4	2.4	-102.4	2.4	-102.4
0.068	4	2.4	-102.4	2.4	-102.4
0.07	4	2.4	-102.4	2.4	-102.4
0.072	4	2.4	-102.4	2.4	-102.4
0.074	4.8	3.2	-102.4	2.4	-102.4
0.076	3.2	1.6	-102.4	2.4	-102.4
0.078	4	2.4	-102.4	2.4	-102.4
0.08	4	2.4	-102.4	2.4	-102.4
0.082	4	1.6	-102.4	2.4	-102.4
0.084	4	2.4	-102.4	1.6	-102.4
0.086	4	2.4	-102.4	2.4	-102.4
0.088	4	3.2	-102.4	3.2	-102.4
0.09	4	2.4	-102.4	2.4	-102.4
0.092	4	2.4	-102.4	2.4	-102.4
0.094	4	1.6	-102.4	2.4	-102.4
0.096	4	2.4	-102.4	2.4	-102.4
0.098	3.2	1.6	-102.4	2.4	-102.4
0.1	3.2	1.6	-102.4	2.4	-102.4
0.102	3.2	1.6	-102.4	3.2	2.4
0.104	4	1.6	-102.4	1.6	3.2
0.106	4	3.2	-102.4	2.4	3.2
0.108	4	2.4	-102.4	2.4	2.4
0.11	4	1.6	-102.4	3.2	2.4
0.112	4	2.4	-102.4	3.2	2.4
0.114	4	2.4	-102.4	2.4	2.4
0.116	4	2.4	-102.4	1.6	3.2
0.118	3.2	1.6	1.6	3.2	2.4
0.12	3.2	2.4	2.4	2.4	2.4
0.122	4	2.4	2.4	2.4	2.4
0.124	4	2.4	2.4	2.4	2.4
0.126	3.2	1.6	1.6	2.4	2.4
0.128	4	2.4	1.6	2.4	2.4
0.13	4	1.6	2.4	3.2	3.2
0.132	3.2	2.4	1.6	2.4	2.4
0.134	3.2	2.4	2.4	2.4	1.6
0.136	3.2	2.4	1.6	1.6	3.2
0.138	3.2	1.6	2.4	0.8	2.4
0.14	3.2	1.6	2.4	1.6	3.2
0.142	4	2.4	2.4	2.4	1.6
0.144	4	2.4	1.6	2.4	3.2
0.146	4	2.4	2.4	2.4	2.4
0.148	4	2.4	2.4	2.4	2.4
0.15	4	2.4	2.4	2.4	3.2
0.152	4	2.4	2.4	2.4	2.4
0.154	3.2	2.4	1.6	3.2	2.4
0.156	4	2.4	2.4	2.4	3.2
0.158	3.2	1.6	1.6	1.6	2.4
0.16	4	2.4	1.6	2.4	2.4
0.162	3.2	3.2	2.4	1.6	2.4
0.164	4	2.4	2.4	2.4	2.4
0.166	-102.4	2.4	2.4	2.4	0.8
0.168	-102.4	2.4	1.6	2.4	2.4
0.17	-102.4	3.2	2.4	2.4	2.4
0.172	-102.4	2.4	2.4	2.4	3.2
0.174	-102.4	2.4	2.4	1.6	3.2
0.176	-102.4	1.6	1.6	2.4	2.4
0.178	-102.4	2.4	2.4	2.4	3.2
0.18	-102.4	2.4	1.6	2.4	2.4
0.182	-102.4	2.4	2.4	2.4	1.6
0.184	-102.4	2.4	2.4	3.2	3.2
0.186	-102.4	2.4	2.4	1.6	3.2
0.188	-102.4	2.4	2.4	3.2	3.2
0.19	-102.4	2.4	2.4	1.6	2.4
0.192	-102.4	2.4	2.4	1.6	3.2
0.194	-102.4	2.4	2.4	3.2	2.4
0.196	-102.4	1.6	2.4	1.6	2.4
0.198	-102.4	2.4	2.4	2.4	2.4
0.2	-102.4	-102.4	2.4	1.6	3.2
0.202	-102.4	-102.4	2.4	2.4	3.2
0.204	-102.4	-102.4	2.4	3.2	2.4
0.206	-102.4	-102.4	1.6	2.4	2.4
0.208	-102.4	-102.4	1.6	2.4	3.2
0.21	-102.4	-102.4	2.4	2.4	2.4
0.212	-102.4	-102.4	3.2	2.4	1.6
0.214	-102.4	-102.4	2.4	1.6	2.4
0.216	-102.4	-102.4	1.6	3.2	1.6
0.218	-102.4	-102.4	2.4	2.4	3.2
0.22	-102.4	-102.4	3.2	1.6	1.6
0.222	-102.4	-102.4	3.2	2.4	2.4
0.224	-102.4	-102.4	1.6	2.4	3.2
0.226	-102.4	-102.4	1.6	-102.4	2.4
0.228	-102.4	-102.4	2.4	-102.4	3.2
0.23	-102.4	-102.4	2.4	-102.4	2.4
0.232	-102.4	-102.4	1.6	-102.4	2.4
0.234	-102.4	-102.4	2.4	-102.4	2.4
0.236	-102.4	-102.4	3.2	-102.4	2.4
0.238	-102.4	-102.4	2.4	-102.4	3.2
0.24	-102.4	-102.4	0.8	-102.4	2.4
0.242	-102.4	-102.4	2.4	-102.4	3.2
0.244	-102.4	-102.4	2.4	-102.4	1.6
0.246	-102.4	-102.4	2.4	-102.4	2.4
0.248	-102.4	-102.4	1.6	-102.4	1.6
0.25	-102.4	-102.4	1.6	-102.4	2.4
0.252	-102.4	-102.4	2.4	-102.4	2.4
0.254	-102.4	-102.4	2.4	-102.4	3.2
0.256	-102.4	-102.4	1.6	-102.4	2.4
0.258	-102.4	-102.4	2.4	-102.4	2.4
0.26	-102.4	-102.4	2.4	-102.4	3.2
0.262	-102.4	-102.4	2.4	-102.4	1.6
0.264	-102.4	-102.4	1.6	-102.4	2.4
0.266	-102.4	-102.4	2.4	-102.4	2.4
0.268	-102.4	-102.4	1.6	-102.4	2.4
0.27	-102.4	-102.4	2.4	-102.4	2.4
0.272	-102.4	-102.4	1.6	-102.4	2.4
0.274	-102.4	-102.4	1.6	-102.4	2.4
0.276	-102.4	-102.4	2.4	-102.4	2.4
0.278	-102.4	-102.4	1.6	-102.4	1.6
0.28	-102.4	-102.4	2.4	-102.4	2.4
0.282	-102.4	-102.4	1.6	-102.4	3.2
0.284	-102.4	-102.4	2.4	-102.4	2.4
0.286	-102.4	-102.4	2.4	-102.4	3.2
0.288	-102.4	-102.4	1.6	-102.4	2.4
0.29	-102.4	-102.4	1.6	-102.4	2.4
0.292	-102.4	-102.4	3.2	-102.4	2.4
0.294	-102.4	-102.4	2.4	-102.4	2.4
0.296	-102.4	-102.4	2.4	-102.4	2.4
0.298	-102.4	-102.4	2.4	-102.4	2.4
0.3	-102.4	-102.4	2.4	-102.4	2.4
0.302	-102.4	-102.4	2.4	-102.4	2.4
0.304	-102.4	-102.4	0.8	-102.4	2.4
0.306	-102.4	-102.4	2.4	-102.4	2.4
0.308	-102.4	-102.4	2.4	-102.4	2.4
0.31	-102.4	-102.4	2.4	-102.4	2.4
0.312	-102.4	-102.4	2.4	-102.4	2.4
0.314	-102.4	-102.4	1.6	-102.4	3.2
0.316	-102.4	-102.4	2.4	-102.4	2.4
0.318	-102.4	-102.4	3.2	-102.4	2.4
0.32	-102.4	-102.4	1.6	-102.4	2.4
0.322	-102.4	-102.4	3.2	-102.4	2.4
0.324	-102.4	-102.4	2.4	-102.4	3.2
0.326	-102.4	-102.4	2.4	-102.4	3.2
0.328	-102.4	-102.4	2.4	-102.4	2.4
0.33	-102.4	-102.4	2.4	-102.4	3.2
0.332	-102.4	-102.4	2.4	-102.4	2.4
0.334	-102.4	-102.4	1.6	-102.4	3.2
0.336	-102.4	-102.4	2.4	-102.4	2.4
0.338	-102.4	-102.4	2.4	-102.4	3.2
0.34	-102.4	-102.4	2.4	-102.4	2.4
0.342	-102.4	-102.4	2.4	-102.4	2.4
0.344	-102.4	-102.4	2.4	-102.4	3.2
0.346	-102.4	-102.4	2.4	-102.4	2.4
0.348	-102.4	-102.4	2.4	-102.4	2.4
0.35	-102.4	-102.4	2.4	-102.4	2.4
0.352	-102.4	-102.4	2.4	-102.4	2.4
0.354	-102.4	-102.4	2.4	-102.4	2.4
0.356	-102.4	-102.4	2.4	-102.4	1.6
0.358	-102.4	-102.4	2.4	-102.4	2.4
0.36	-102.4	-102.4	2.4	-102.4	2.4
0.362	-102.4	-102.4	2.4	-102.4	2.4
0.364	-102.4	-102.4	1.6	-102.4	3.2
0.366	-102.4	-102.4	2.4	-102.4	3.2
0.368	-102.4	-102.4	2.4	-102.4	3.2
0.37	-102.4	-102.4	2.4	-102.4	3.2
0.372	-102.4	-102.4	1.6	-102.4	3.2
0.374	-102.4	-102.4	1.6	-102.4	2.4
0.376	-102.4	-102.4	1.6	-102.4	3.2
0.378	-102.4	-102.4	1.6	-102.4	4
0.38	-102.4	-102.4	1.6	-102.4	2.4
0.382	-102.4	-102.4	1.6	-102.4	2.4
0.384	-102.4	-102.4	2.4	-102.4	2.4
0.386	-102.4	-102.4	2.4	-102.4	3.2
0.388	-102.4	-102.4	1.6	-102.4	3.2
0.39	-102.4	-102.4	2.4	-102.4	2.4
0.392	-102.4	-102.4	2.4	-102.4	3.2
0.394	-102.4	-102.4	2.4	-102.4	2.4
0.396	-102.4	-102.4	2.4	-102.4	2.4
0.398	-102.4	-102.4	2.4	-102.4	3.2
0.4	-102.4	-102.4	2.4	-102.4	2.4
0.402	-102.4	-102.4	1.6	-102.4	2.4
0.404	-102.4	-102.4	1.6	-102.4	4
0.406	-102.4	-102.4	1.6	-102.4	3.2
0.408	-102.4	-102.4	2.4	-102.4	2.4
0.41	-102.4	-102.4	1.6	-102.4	2.4
0.412	-102.4	-102.4	0.8	-102.4	2.4
0.414	-102.4	-102.4	2.4	-102.4	2.4
0.416	-102.4	-102.4	2.4	-102.4	3.2
0.418	-102.4	-102.4	3.2	-102.4	2.4
0.42	-102.4	-102.4	2.4	-102.4	3.2
0.422	-102.4	-102.4	2.4	-102.4	2.4
0.424	-102.4	-102.4	2.4	-102.4	1.6
0.426	-102.4	-102.4	1.6	-102.4	3.2
0.428	-102.4	-102.4	2.4	-102.4	1.6
0.43	-102.4	-102.4	2.4	-102.4	3.2
0.432	-102.4	-102.4	2.4	-102.4	2.4
0.434	-102.4	-102.4	2.4	-102.4	2.4
0.436	-102.4	-102.4	2.4	-102.4	2.4
0.438	-102.4	-102.4	2.4	-102.4	1.6
0.44	-102.4	-102.4	1.6	-102.4	2.4
0.442	-102.4	-102.4	1.6	-102.4	2.4
0.444	-102.4	-102.4	2.4	-102.4	2.4
0.446	-102.4	-102.4	2.4	-102.4	2.4
0.448	-102.4	-102.4	2.4	-102.4	0.8
0.45	-102.4	-102.4	1.6	-102.4	3.2
0.452	-102.4	-102.4	1.6	-102.4	2.4
0.454	-102.4	-102.4	2.4	-102.4	3.2
0.456	-102.4	-102.4	2.4	-102.4	2.4
0.458	-102.4	-102.4	1.6	-102.4	2.4
0.46	-102.4	-102.4	2.4	-102.4	3.2
0.462	-102.4	-102.4	1.6	-102.4	3.2
0.464	-102.4	-102.4	1.6	-102.4	2.4
0.466	-102.4	-102.4	2.4	-102.4	3.2
0.468	-102.4	-102.4	2.4	-102.4	3.2
0.47	-102.4	-102.4	2.4	-102.4	2.4
0.472	-102.4	-102.4	1.6	-102.4	2.4
