Time	1st	2nd	3rd	4th	5th
0	-102.4	-102.4	3.2	-102.4	3.2
0.002	-102.4	-102.4	4	-102.4	1.6
0.004	-102.4	-102.4	2.4	-102.4	2.4
0.006	-102.4	-102.4	3.2	-102.4	3.2
0.008	-102.4	-102.4	2.4	-102.4	3.2
0.01	-102.4	-102.4	3.2	-102.4	3.2
0.012	-102.4	-102.4	3.2	-102.4	3.2
0.014	-102.4	-102.4	2.4	-102.4	2.4
0.016	-102.4	-102.4	2.4	-102.4	3.2
0.018	-102.4	-102.4	3.2	-102.4	2.4
0.02	-102.4	-102.4	1.6	-102.4	2.4
0.022	-102.4	-102.4	3.2	-102.4	3.2
0.024	-102.4	-102.4	2.4	-102.4	3.2
0.026	-102.4	-102.4	2.4	-102.4	3.2
0.028	-102.4	-102.4	3.2	-102.4	3.2
0.03	-102.4	-102.4	3.2	-102.4	3.2
0.032	-102.4	-102.4	2.4	-102.4	2.4
0.034	-102.4	-102.4	2.4	-102.4	2.4
0.036	-102.4	-102.4	3.2	-102.4	3.2
0.038	-102.4	-102.4	3.2	-102.4	3.2
0.04	-102.4	-102.4	3.2	-102.4	-102.4
0.042	-102.4	-102.4	3.2	-102.4	-102.4
0.044	-102.4	-102.4	3.2	-102.4	-102.4
0.046	-102.4	-102.4	3.2	-102.4	-102.4
0.048	-102.4	-102.4	2.4	-102.4	-102.4
0.05	-102.4	-102.4	3.2	-102.4	-102.4
0.052	-102.4	-102.4	2.4	-102.4	-102.4
0.054	-102.4	-102.4	2.4	-102.4	-102.4
0.056	-102.4	-102.4	3.2	-102.4	-102.4
0.058	-102.4	-102.4	3.2	-102.4	-102.4
0.06	-102.4	-102.4	4	-102.4	-102.4
0.062	-102.4	-102.4	1.6	-102.4	-102.4
0.064	-102.4	-102.4	3.2	-102.4	-102.4
0.066	-102.4	-102.4	3.2	-102.4	-102.4
0.068	-102.4	-102.4	3.2	-102.4	-102.4
0.07	-102.4	-102.4	2.4	-102.4	-102.4
0.072	-102.4	-102.4	3.2	-102.4	-102.4
0.074	-102.4	-102.4	1.6	-102.4	-102.4
0.076	-102.4	-102.4	1.6	-102.4	-102.4
0.078	-102.4	-102.4	2.4	-102.4	-102.4
0.08	-102.4	-102.4	2.4	-102.4	-102.4
0.082	-102.4	-102.4	3.2	-102.4	-102.4
0.084	-102.4	-102.4	2.4	-102.4	-102.4
0.086	-102.4	-102.4	3.2	-102.4	-102.4
0.088	-102.4	-102.4	2.4	-102.4	-102.4
0.09	-102.4	-102.4	2.4	-102.4	-102.4
0.092	-102.4	-102.4	2.4	-102.4	-102.4
0.094	-102.4	-102.4	2.4	-102.4	-102.4
0.096	-102.4	-102.4	2.4	-102.4	-102.4
0.098	-102.4	-102.4	2.4	-102.4	-102.4
0.1	-102.4	-102.4	3.2	-102.4	-102.4
0.102	-102.4	-102.4	3.2	-102.4	-102.4
0.104	-102.4	-102.4	2.4	-102.4	-102.4
0.106	-102.4	-102.4	3.2	-102.4	-102.4
0.108	-102.4	-102.4	3.2	-102.4	-102.4
0.11	-102.4	-102.4	1.6	-102.4	-102.4
0.112	4	-102.4	3.2	-102.4	-102.4
0.114	3.2	-102.4	2.4	-102.4	-102.4
0.116	5.6	-102.4	3.2	-102.4	-102.4
0.118	4	-102.4	3.2	-102.4	-102.4
0.12	3.2	-102.4	3.2	-102.4	-102.4
0.122	3.2	-102.4	2.4	-102.4	-102.4
0.124	3.2	-102.4	3.2	-102.4	-102.4
0.126	3.2	-102.4	2.4	-102.4	-102.4
0.128	4	-102.4	2.4	-102.4	-102.4
0.13	4	-102.4	3.2	-102.4	-102.4
0.132	3.2	-102.4	2.4	-102.4	-102.4
0.134	3.2	-102.4	2.4	-102.4	-102.4
0.136	3.2	-102.4	1.6	-102.4	-102.4
0.138	3.2	-102.4	2.4	-102.4	-102.4
0.14	4	-102.4	1.6	-102.4	-102.4
0.142	4	-102.4	3.2	-102.4	-102.4
0.144	3.2	-102.4	2.4	-102.4	-102.4
0.146	3.2	-102.4	3.2	-102.4	-102.4
0.148	3.2	-102.4	3.2	-102.4	-102.4
0.15	3.2	-102.4	3.2	-102.4	-102.4
0.152	3.2	-102.4	2.4	-102.4	-102.4
0.154	3.2	-102.4	3.2	-102.4	-102.4
0.156	4	-102.4	3.2	-102.4	-102.4
0.158	4	-102.4	3.2	-102.4	-102.4
0.16	4	-102.4	3.2	-102.4	-102.4
0.162	3.2	-102.4	2.4	-102.4	-102.4
0.164	4	-102.4	1.6	-102.4	-102.4
0.166	4	-102.4	2.4	-102.4	-102.4
0.168	4	-102.4	3.2	-102.4	-102.4
0.17	3.2	-102.4	2.4	-102.4	-102.4
0.172	3.2	-102.4	2.4	-102.4	-102.4
0.174	3.2	-102.4	3.2	-102.4	-102.4
0.176	3.2	-102.4	2.4	-102.4	-102.4
0.178	3.2	-102.4	2.4	-102.4	-102.4
0.18	3.2	-102.4	2.4	-102.4	-102.4
0.182	4	-102.4	2.4	-102.4	-102.4
0.184	4	-102.4	2.4	-102.4	-102.4
0.186	2.4	-102.4	2.4	-102.4	-102.4
0.188	4	-102.4	2.4	-102.4	-102.4
0.19	3.2	-102.4	3.2	-102.4	-102.4
0.192	4	-102.4	2.4	-102.4	-102.4
0.194	4	-102.4	3.2	-102.4	-102.4
0.196	2.4	-102.4	2.4	-102.4	-102.4
0.198	3.2	-102.4	3.2	-102.4	-102.4
0.2	3.2	-102.4	2.4	-102.4	-102.4
0.202	4	-102.4	2.4	-102.4	-102.4
0.204	3.2	-102.4	3.2	-102.4	-102.4
0.206	3.2	-102.4	1.6	-102.4	-102.4
0.208	3.2	-102.4	3.2	-102.4	-102.4
0.21	3.2	-102.4	4	-102.4	-102.4
0.212	3.2	-102.4	2.4	-102.4	-102.4
0.214	4	-102.4	3.2	-102.4	-102.4
0.216	3.2	-102.4	3.2	-102.4	-102.4
0.218	4	-102.4	2.4	-102.4	-102.4
0.22	3.2	-102.4	2.4	-102.4	-102.4
0.222	4	-102.4	3.2	-102.4	-102.4
0.224	3.2	-102.4	2.4	-102.4	-102.4
0.226	4	-102.4	2.4	-102.4	-102.4
0.228	3.2	-102.4	2.4	-102.4	-102.4
0.23	3.2	-102.4	3.2	-102.4	-102.4
0.232	4	-102.4	3.2	-102.4	-102.4
0.234	3.2	-102.4	2.4	-102.4	-102.4
0.236	3.2	-102.4	3.2	-102.4	-102.4
0.238	3.2	-102.4	1.6	-102.4	-102.4
0.24	4	-102.4	3.2	-102.4	-102.4
0.242	3.2	-102.4	2.4	-102.4	-102.4
0.244	4.8	-102.4	3.2	-102.4	-102.4
0.246	3.2	-102.4	3.2	3.2	-102.4
0.248	3.2	-102.4	3.2	3.2	-102.4
0.25	4	-102.4	3.2	3.2	-102.4
0.252	3.2	-102.4	3.2	3.2	-102.4
0.254	4	-102.4	2.4	1.6	-102.4
0.256	4	-102.4	2.4	3.2	-102.4
0.258	4	-102.4	2.4	3.2	-102.4
0.26	3.2	-102.4	2.4	3.2	-102.4
0.262	3.2	-102.4	3.2	4	-102.4
0.264	3.2	-102.4	3.2	2.4	-102.4
0.266	3.2	-102.4	4	3.2	-102.4
0.268	3.2	-102.4	2.4	3.2	-102.4
0.27	3.2	-102.4	2.4	4	-102.4
0.272	3.2	-102.4	2.4	2.4	-102.4
0.274	3.2	-102.4	2.4	2.4	-102.4
0.276	3.2	-102.4	2.4	3.2	-102.4
0.278	3.2	-102.4	3.2	3.2	-102.4
0.28	3.2	-102.4	3.2	3.2	-102.4
0.282	3.2	-102.4	3.2	2.4	-102.4
0.284	4	-102.4	2.4	2.4	-102.4
0.286	3.2	-102.4	1.6	3.2	-102.4
0.288	3.2	-102.4	2.4	3.2	-102.4
0.29	3.2	-102.4	2.4	3.2	-102.4
0.292	3.2	-102.4	3.2	3.2	-102.4
0.294	3.2	-102.4	2.4	3.2	-102.4
0.296	3.2	-102.4	2.4	2.4	-102.4
0.298	3.2	-102.4	3.2	2.4	-102.4
0.3	3.2	-102.4	1.6	3.2	-102.4
0.302	3.2	-102.4	2.4	3.2	-102.4
0.304	3.2	-102.4	2.4	3.2	-102.4
0.306	3.2	-102.4	3.2	3.2	-102.4
0.308	4	-102.4	2.4	2.4	-102.4
0.31	3.2	-102.4	3.2	3.2	-102.4
0.312	2.4	-102.4	3.2	2.4	-102.4
0.314	3.2	-102.4	2.4	2.4	-102.4
0.316	3.2	-102.4	2.4	3.2	-102.4
0.318	4	-102.4	-102.4	2.4	-102.4
0.32	3.2	-102.4	-102.4	3.2	-102.4
0.322	3.2	-102.4	-102.4	3.2	-102.4
0.324	3.2	-102.4	-102.4	3.2	-102.4
0.326	4	-102.4	-102.4	2.4	-102.4
0.328	4	-102.4	-102.4	3.2	-102.4
0.33	3.2	-102.4	-102.4	3.2	-102.4
0.332	3.2	-102.4	-102.4	2.4	-102.4
0.334	3.2	-102.4	-102.4	3.2	-102.4
0.336	3.2	-102.4	-102.4	2.4	-102.4
0.338	4	-102.4	-102.4	3.2	-102.4
0.34	3.2	-102.4	-102.4	2.4	-102.4
0.342	3.2	-102.4	-102.4	3.2	-102.4
0.344	3.2	-102.4	-102.4	2.4	-102.4
0.346	4	-102.4	-102.4	3.2	-102.4
0.348	3.2	-102.4	-102.4	2.4	-102.4
0.35	3.2	-102.4	-102.4	2.4	-102.4
0.352	3.2	-102.4	-102.4	2.4	-102.4
0.354	3.2	-102.4	-102.4	1.6	-102.4
0.356	3.2	-102.4	-102.4	3.2	-102.4
0.358	4	-102.4	-102.4	2.4	-102.4
0.36	4	-102.4	-102.4	3.2	-102.4
0.362	3.2	-102.4	-102.4	2.4	-102.4
0.364	3.2	-102.4	-102.4	2.4	-102.4
0.366	3.2	-102.4	-102.4	3.2	-102.4
0.368	3.2	-102.4	-102.4	2.4	-102.4
0.37	3.2	-102.4	-102.4	2.4	-102.4
0.372	3.2	-102.4	-102.4	2.4	-102.4
0.374	4	-102.4	-102.4	3.2	-102.4
0.376	2.4	-102.4	-102.4	3.2	-102.4
0.378	3.2	-102.4	-102.4	2.4	-102.4
0.38	3.2	-102.4	-102.4	3.2	-102.4
0.382	2.4	-102.4	-102.4	3.2	-102.4
