Time	1st	2nd	3rd	4th	5th
0	3.2	-102.4	2.4	-102.4	-102.4
0.002	2.4	-102.4	3.2	-102.4	-102.4
0.004	2.4	-102.4	2.4	-102.4	-102.4
0.006	2.4	-102.4	3.2	-102.4	-102.4
0.008	2.4	-102.4	3.2	-102.4	-102.4
0.01	3.2	-102.4	3.2	-102.4	-102.4
0.012	3.2	-102.4	3.2	-102.4	-102.4
0.014	2.4	-102.4	2.4	-102.4	-102.4
0.016	3.2	-102.4	2.4	-102.4	-102.4
0.018	3.2	-102.4	2.4	-102.4	-102.4
0.02	2.4	-102.4	3.2	-102.4	-102.4
0.022	3.2	-102.4	3.2	-102.4	-102.4
0.024	3.2	-102.4	3.2	-102.4	-102.4
0.026	2.4	-102.4	2.4	-102.4	-102.4
0.028	2.4	-102.4	2.4	-102.4	-102.4
0.03	3.2	-102.4	2.4	-102.4	-102.4
0.032	2.4	-102.4	3.2	-102.4	-102.4
0.034	2.4	-102.4	3.2	-102.4	-102.4
0.036	2.4	-102.4	3.2	-102.4	-102.4
0.038	2.4	-102.4	3.2	-102.4	-102.4
0.04	3.2	-102.4	2.4	-102.4	-102.4
0.042	2.4	-102.4	1.6	-102.4	-102.4
0.044	3.2	-102.4	2.4	-102.4	-102.4
0.046	3.2	-102.4	3.2	-102.4	-102.4
0.048	2.4	-102.4	2.4	-102.4	-102.4
0.05	2.4	-102.4	2.4	-102.4	-102.4
0.052	2.4	-102.4	2.4	-102.4	-102.4
0.054	3.2	-102.4	3.2	-102.4	-102.4
0.056	3.2	-102.4	2.4	-102.4	-102.4
0.058	3.2	-102.4	2.4	-102.4	-102.4
0.06	2.4	-102.4	3.2	-102.4	-102.4
0.062	3.2	-102.4	2.4	-102.4	-102.4
0.064	2.4	-102.4	3.2	-102.4	-102.4
0.066	3.2	-102.4	3.2	-102.4	-102.4
0.068	3.2	-102.4	2.4	-102.4	-102.4
0.07	3.2	-102.4	2.4	-102.4	-102.4
0.072	2.4	-102.4	3.2	-102.4	-102.4
0.074	4	-102.4	3.2	-102.4	-102.4
0.076	3.2	-102.4	3.2	-102.4	-102.4
0.078	3.2	-102.4	3.2	-102.4	-102.4
0.08	3.2	-102.4	2.4	-102.4	-102.4
0.082	2.4	-102.4	3.2	-102.4	-102.4
0.084	0.8	-102.4	2.4	-102.4	-102.4
0.086	3.2	-102.4	4	-102.4	-102.4
0.088	3.2	-102.4	3.2	-102.4	-102.4
0.09	3.2	-102.4	3.2	-102.4	-102.4
0.092	2.4	-102.4	3.2	-102.4	-102.4
0.094	3.2	-102.4	2.4	-102.4	-102.4
0.096	2.4	-102.4	2.4	-102.4	-102.4
0.098	3.2	-102.4	4	-102.4	-102.4
0.1	3.2	-102.4	3.2	-102.4	-102.4
0.102	2.4	-102.4	3.2	-102.4	-102.4
0.104	2.4	-102.4	2.4	-102.4	-102.4
0.106	2.4	-102.4	1.6	-102.4	-102.4
0.108	2.4	-102.4	3.2	-102.4	-102.4
0.11	2.4	-102.4	2.4	-102.4	-102.4
0.112	2.4	-102.4	3.2	-102.4	-102.4
0.114	2.4	-102.4	3.2	-102.4	-102.4
0.116	2.4	-102.4	3.2	-102.4	-102.4
0.118	2.4	-102.4	2.4	-102.4	-102.4
0.12	2.4	-102.4	3.2	-102.4	-102.4
0.122	2.4	-102.4	2.4	-102.4	-102.4
0.124	3.2	-102.4	3.2	-102.4	-102.4
0.126	2.4	-102.4	3.2	-102.4	-102.4
0.128	3.2	-102.4	2.4	-102.4	-102.4
0.13	2.4	-102.4	2.4	-102.4	-102.4
0.132	3.2	-102.4	2.4	-102.4	-102.4
0.134	3.2	-102.4	2.4	-102.4	-102.4
0.136	2.4	-102.4	3.2	-102.4	-102.4
0.138	1.6	-102.4	2.4	-102.4	-102.4
0.14	2.4	-102.4	3.2	-102.4	-102.4
0.142	2.4	-102.4	2.4	-102.4	-102.4
0.144	0.8	-102.4	3.2	-102.4	-102.4
0.146	1.6	-102.4	3.2	-102.4	-102.4
0.148	3.2	-102.4	2.4	-102.4	-102.4
0.15	3.2	-102.4	3.2	3.2	-102.4
0.152	2.4	-102.4	2.4	3.2	-102.4
0.154	2.4	-102.4	3.2	3.2	-102.4
0.156	3.2	-102.4	3.2	2.4	-102.4
0.158	3.2	-102.4	3.2	2.4	-102.4
0.16	2.4	-102.4	3.2	2.4	-102.4
0.162	3.2	-102.4	2.4	0.8	-102.4
0.164	2.4	-102.4	3.2	3.2	3.2
0.166	3.2	-102.4	2.4	1.6	3.2
0.168	2.4	-102.4	3.2	3.2	3.2
0.17	1.6	-102.4	3.2	3.2	3.2
0.172	2.4	-102.4	3.2	2.4	3.2
0.174	2.4	-102.4	3.2	3.2	2.4
0.176	3.2	-102.4	1.6	2.4	3.2
0.178	2.4	-102.4	3.2	3.2	3.2
0.18	3.2	-102.4	2.4	3.2	3.2
0.182	2.4	-102.4	2.4	3.2	2.4
0.184	2.4	-102.4	3.2	3.2	3.2
0.186	2.4	-102.4	3.2	3.2	3.2
0.188	2.4	-102.4	2.4	2.4	2.4
0.19	2.4	-102.4	2.4	3.2	3.2
0.192	2.4	-102.4	3.2	3.2	3.2
0.194	2.4	-102.4	3.2	3.2	3.2
0.196	3.2	-102.4	2.4	2.4	4
0.198	2.4	-102.4	3.2	2.4	3.2
