Time	1st	2nd	3rd	4th	5th
0	3.2	3.2	3.2	2.4	2.4
0.002	3.2	2.4	3.2	2.4	3.2
0.004	2.4	3.2	2.4	3.2	2.4
0.006	3.2	4	3.2	4	3.2
0.008	3.2	4	3.2	3.2	2.4
0.01	4	2.4	2.4	2.4	3.2
0.012	1.6	2.4	3.2	2.4	3.2
0.014	3.2	4	3.2	3.2	3.2
0.016	3.2	3.2	3.2	3.2	3.2
0.018	2.4	2.4	3.2	3.2	3.2
0.02	3.2	3.2	2.4	3.2	3.2
0.022	3.2	3.2	3.2	2.4	2.4
0.024	3.2	3.2	3.2	2.4	2.4
0.026	3.2	3.2	3.2	3.2	2.4
0.028	2.4	3.2	3.2	3.2	3.2
0.03	4	3.2	3.2	3.2	4
0.032	3.2	3.2	3.2	3.2	3.2
0.034	2.4	4	3.2	4	2.4
0.036	2.4	2.4	2.4	2.4	2.4
0.038	3.2	2.4	3.2	3.2	2.4
0.04	2.4	3.2	3.2	2.4	3.2
0.042	2.4	2.4	2.4	2.4	3.2
0.044	3.2	3.2	4	3.2	2.4
0.046	2.4	1.6	3.2	3.2	2.4
0.048	3.2	3.2	2.4	2.4	3.2
0.05	3.2	3.2	3.2	4	3.2
0.052	3.2	2.4	3.2	3.2	3.2
0.054	3.2	4	4	3.2	3.2
0.056	3.2	3.2	2.4	3.2	3.2
0.058	3.2	3.2	3.2	2.4	2.4
0.06	2.4	3.2	4	4	4
0.062	3.2	3.2	2.4	3.2	2.4
0.064	4	3.2	2.4	3.2	3.2
0.066	3.2	2.4	3.2	3.2	4
0.068	3.2	3.2	3.2	3.2	2.4
0.07	2.4	3.2	3.2	3.2	4
0.072	3.2	2.4	2.4	3.2	3.2
0.074	3.2	3.2	3.2	3.2	3.2
0.076	3.2	3.2	3.2	3.2	3.2
0.078	3.2	3.2	3.2	1.6	3.2
0.08	2.4	2.4	3.2	3.2	4
0.082	3.2	3.2	2.4	3.2	3.2
0.084	3.2	-102.4	3.2	3.2	3.2
0.086	3.2	-102.4	3.2	3.2	2.4
0.088	2.4	-102.4	3.2	2.4	3.2
0.09	3.2	-102.4	2.4	3.2	3.2
0.092	3.2	-102.4	2.4	3.2	3.2
0.094	3.2	-102.4	2.4	3.2	3.2
0.096	3.2	-102.4	2.4	3.2	2.4
0.098	3.2	-102.4	4	3.2	3.2
0.1	3.2	-102.4	3.2	3.2	3.2
0.102	3.2	-102.4	2.4	3.2	3.2
0.104	3.2	-102.4	3.2	3.2	2.4
0.106	3.2	-102.4	2.4	2.4	2.4
0.108	3.2	-102.4	3.2	3.2	3.2
0.11	3.2	-102.4	2.4	3.2	2.4
0.112	3.2	-102.4	3.2	3.2	4
0.114	2.4	-102.4	3.2	3.2	2.4
0.116	3.2	-102.4	3.2	2.4	2.4
0.118	3.2	-102.4	3.2	2.4	3.2
0.12	3.2	-102.4	3.2	3.2	3.2
0.122	2.4	-102.4	4	4	4
0.124	3.2	-102.4	3.2	3.2	3.2
0.126	2.4	-102.4	3.2	3.2	2.4
0.128	3.2	-102.4	3.2	2.4	2.4
0.13	2.4	-102.4	3.2	3.2	3.2
0.132	4	-102.4	3.2	2.4	3.2
0.134	1.6	-102.4	3.2	3.2	2.4
0.136	3.2	-102.4	4	3.2	3.2
0.138	2.4	-102.4	2.4	3.2	3.2
0.14	3.2	-102.4	2.4	3.2	4
0.142	2.4	-102.4	3.2	3.2	2.4
0.144	1.6	-102.4	3.2	3.2	3.2
0.146	3.2	-102.4	3.2	3.2	3.2
0.148	3.2	-102.4	3.2	2.4	3.2
0.15	2.4	-102.4	3.2	2.4	3.2
0.152	2.4	-102.4	2.4	3.2	3.2
0.154	3.2	-102.4	3.2	3.2	3.2
0.156	3.2	-102.4	2.4	3.2	3.2
0.158	3.2	-102.4	3.2	3.2	3.2
0.16	3.2	-102.4	4	2.4	3.2
0.162	3.2	-102.4	3.2	3.2	3.2
0.164	2.4	-102.4	2.4	3.2	3.2
0.166	3.2	-102.4	2.4	3.2	3.2
0.168	4	-102.4	2.4	3.2	3.2
0.17	3.2	-102.4	3.2	3.2	3.2
0.172	3.2	-102.4	3.2	3.2	2.4
0.174	3.2	-102.4	3.2	2.4	3.2
0.176	3.2	-102.4	2.4	2.4	2.4
0.178	3.2	-102.4	2.4	3.2	3.2
0.18	3.2	-102.4	3.2	3.2	3.2
0.182	4	-102.4	4	3.2	3.2
0.184	3.2	-102.4	2.4	3.2	2.4
0.186	3.2	-102.4	4	3.2	3.2
0.188	3.2	-102.4	3.2	3.2	2.4
0.19	3.2	-102.4	2.4	3.2	2.4
0.192	2.4	-102.4	3.2	3.2	3.2
0.194	2.4	-102.4	3.2	3.2	4
0.196	2.4	-102.4	3.2	2.4	3.2
0.198	3.2	-102.4	3.2	3.2	3.2
0.2	2.4	-102.4	3.2	3.2	3.2
0.202	3.2	-102.4	3.2	3.2	3.2
0.204	3.2	-102.4	3.2	3.2	3.2
0.206	3.2	-102.4	2.4	2.4	3.2
0.208	3.2	-102.4	3.2	3.2	2.4
0.21	3.2	-102.4	3.2	4	2.4
0.212	3.2	-102.4	2.4	3.2	4
0.214	2.4	-102.4	2.4	3.2	3.2
0.216	3.2	-102.4	3.2	3.2	3.2
0.218	2.4	-102.4	3.2	3.2	2.4
0.22	2.4	-102.4	2.4	3.2	3.2
0.222	3.2	-102.4	2.4	3.2	3.2
0.224	3.2	-102.4	3.2	3.2	3.2
0.226	3.2	-102.4	4	2.4	2.4
0.228	2.4	-102.4	3.2	3.2	0.8
0.23	3.2	-102.4	3.2	3.2	2.4
0.232	2.4	-102.4	2.4	3.2	2.4
0.234	2.4	-102.4	3.2	3.2	4
0.236	4	-102.4	3.2	3.2	3.2
0.238	3.2	-102.4	3.2	2.4	2.4
0.24	3.2	-102.4	3.2	3.2	2.4
0.242	3.2	-102.4	3.2	3.2	3.2
0.244	4	-102.4	2.4	3.2	3.2
0.246	3.2	-102.4	3.2	4	3.2
0.248	3.2	-102.4	3.2	3.2	2.4
0.25	2.4	-102.4	3.2	3.2	3.2
0.252	3.2	-102.4	3.2	2.4	3.2
0.254	4	-102.4	3.2	2.4	3.2
0.256	3.2	-102.4	3.2	3.2	3.2
0.258	3.2	-102.4	2.4	2.4	2.4
0.26	3.2	-102.4	3.2	3.2	2.4
0.262	4	-102.4	3.2	3.2	3.2
0.264	2.4	-102.4	3.2	3.2	2.4
0.266	3.2	-102.4	3.2	3.2	3.2
0.268	3.2	-102.4	3.2	3.2	3.2
0.27	3.2	-102.4	4	2.4	3.2
0.272	3.2	-102.4	3.2	3.2	3.2
0.274	2.4	-102.4	2.4	3.2	2.4
0.276	3.2	-102.4	3.2	3.2	3.2
0.278	3.2	-102.4	4	3.2	2.4
0.28	-102.4	-102.4	3.2	2.4	3.2
0.282	-102.4	-102.4	2.4	3.2	3.2
0.284	-102.4	-102.4	2.4	3.2	4
0.286	-102.4	-102.4	2.4	4	3.2
0.288	-102.4	-102.4	2.4	3.2	3.2
0.29	-102.4	-102.4	2.4	3.2	2.4
0.292	-102.4	-102.4	3.2	2.4	3.2
0.294	-102.4	-102.4	3.2	3.2	4
0.296	-102.4	-102.4	3.2	3.2	3.2
0.298	-102.4	-102.4	3.2	3.2	4
0.3	-102.4	-102.4	3.2	3.2	2.4
0.302	-102.4	-102.4	3.2	2.4	3.2
0.304	-102.4	-102.4	2.4	3.2	2.4
0.306	-102.4	-102.4	3.2	3.2	3.2
0.308	-102.4	-102.4	3.2	3.2	3.2
0.31	-102.4	-102.4	3.2	3.2	2.4
0.312	-102.4	-102.4	3.2	2.4	2.4
0.314	-102.4	-102.4	2.4	0.8	3.2
0.316	-102.4	-102.4	3.2	-102.4	2.4
0.318	-102.4	-102.4	4	-102.4	4
0.32	-102.4	-102.4	3.2	-102.4	3.2
0.322	-102.4	-102.4	3.2	-102.4	3.2
0.324	-102.4	-102.4	2.4	-102.4	4
0.326	-102.4	-102.4	4	-102.4	3.2
0.328	-102.4	-102.4	3.2	-102.4	3.2
0.33	-102.4	-102.4	2.4	-102.4	2.4
0.332	-102.4	-102.4	2.4	-102.4	3.2
0.334	-102.4	-102.4	3.2	-102.4	3.2
0.336	-102.4	-102.4	-102.4	-102.4	3.2
0.338	-102.4	-102.4	-102.4	-102.4	3.2
0.34	-102.4	-102.4	-102.4	-102.4	3.2
0.342	-102.4	-102.4	-102.4	-102.4	3.2
0.344	-102.4	-102.4	-102.4	-102.4	3.2
0.346	-102.4	-102.4	-102.4	-102.4	3.2
0.348	-102.4	-102.4	-102.4	-102.4	3.2
0.35	-102.4	-102.4	-102.4	-102.4	3.2
0.352	-102.4	-102.4	-102.4	-102.4	2.4
0.354	-102.4	-102.4	-102.4	-102.4	2.4
0.356	-102.4	-102.4	-102.4	-102.4	3.2
0.358	-102.4	-102.4	-102.4	-102.4	3.2
0.36	-102.4	-102.4	-102.4	-102.4	3.2
0.362	-102.4	-102.4	-102.4	-102.4	2.4
0.364	-102.4	-102.4	-102.4	-102.4	2.4
0.366	-102.4	-102.4	-102.4	-102.4	4
0.368	-102.4	-102.4	-102.4	-102.4	3.2
0.37	-102.4	-102.4	-102.4	-102.4	2.4
0.372	-102.4	-102.4	-102.4	-102.4	3.2
0.374	-102.4	-102.4	-102.4	-102.4	3.2
0.376	-102.4	-102.4	-102.4	-102.4	3.2
0.378	-102.4	-102.4	-102.4	-102.4	2.4
0.38	-102.4	-102.4	-102.4	-102.4	3.2
0.382	-102.4	-102.4	-102.4	-102.4	2.4
0.384	-102.4	-102.4	-102.4	-102.4	3.2
0.386	-102.4	-102.4	-102.4	-102.4	3.2
0.388	-102.4	-102.4	-102.4	-102.4	4
0.39	-102.4	-102.4	-102.4	-102.4	3.2
0.392	-102.4	-102.4	-102.4	-102.4	2.4
0.394	-102.4	-102.4	-102.4	-102.4	3.2
0.396	-102.4	-102.4	-102.4	-102.4	3.2
0.398	-102.4	-102.4	-102.4	-102.4	3.2
0.4	-102.4	-102.4	-102.4	-102.4	4
0.402	-102.4	-102.4	-102.4	-102.4	3.2
0.404	-102.4	-102.4	-102.4	-102.4	3.2
0.406	-102.4	-102.4	-102.4	-102.4	3.2
0.408	-102.4	-102.4	-102.4	-102.4	2.4
0.41	-102.4	-102.4	-102.4	-102.4	2.4
0.412	-102.4	-102.4	-102.4	-102.4	3.2
0.414	-102.4	-102.4	-102.4	-102.4	3.2
0.416	-102.4	-102.4	-102.4	-102.4	3.2
0.418	-102.4	-102.4	-102.4	-102.4	3.2
0.42	-102.4	-102.4	-102.4	-102.4	3.2
0.422	-102.4	-102.4	-102.4	-102.4	2.4
0.424	-102.4	-102.4	-102.4	-102.4	3.2
0.426	-102.4	-102.4	-102.4	-102.4	2.4
0.428	-102.4	-102.4	-102.4	-102.4	3.2
0.43	-102.4	-102.4	-102.4	-102.4	3.2
0.432	-102.4	-102.4	-102.4	-102.4	3.2
0.434	-102.4	-102.4	-102.4	-102.4	2.4
0.436	-102.4	-102.4	-102.4	-102.4	-102.4
