Time	1st	2nd	3rd	4th	5th
0	3.2	-102.4	-102.4	-102.4	-102.4
0.002	2.4	-102.4	-102.4	-102.4	-102.4
0.004	2.4	-102.4	-102.4	-102.4	-102.4
0.006	3.2	-102.4	-102.4	-102.4	-102.4
0.008	2.4	-102.4	-102.4	-102.4	-102.4
0.01	2.4	-102.4	-102.4	-102.4	-102.4
0.012	3.2	-102.4	-102.4	-102.4	-102.4
0.014	3.2	-102.4	-102.4	-102.4	-102.4
0.016	2.4	-102.4	-102.4	-102.4	-102.4
0.018	2.4	-102.4	-102.4	-102.4	-102.4
0.02	3.2	-102.4	-102.4	-102.4	-102.4
0.022	3.2	-102.4	-102.4	-102.4	-102.4
0.024	2.4	-102.4	-102.4	-102.4	-102.4
0.026	3.2	-102.4	-102.4	-102.4	-102.4
0.028	3.2	-102.4	-102.4	-102.4	-102.4
0.03	3.2	-102.4	-102.4	-102.4	-102.4
0.032	3.2	-102.4	-102.4	-102.4	-102.4
0.034	3.2	-102.4	-102.4	-102.4	-102.4
0.036	2.4	-102.4	-102.4	-102.4	-102.4
0.038	2.4	-102.4	-102.4	-102.4	-102.4
0.04	2.4	-102.4	-102.4	-102.4	-102.4
0.042	3.2	-102.4	-102.4	-102.4	-102.4
0.044	3.2	-102.4	-102.4	-102.4	-102.4
0.046	3.2	-102.4	-102.4	-102.4	-102.4
0.048	3.2	-102.4	-102.4	-102.4	-102.4
0.05	3.2	4	-102.4	-102.4	-102.4
0.052	2.4	4	-102.4	-102.4	-102.4
0.054	2.4	3.2	-102.4	-102.4	-102.4
0.056	2.4	4	-102.4	-102.4	-102.4
0.058	3.2	4.8	-102.4	-102.4	4
0.06	3.2	4.8	-102.4	-102.4	4
0.062	2.4	4	-102.4	-102.4	3.2
0.064	2.4	4	-102.4	-102.4	4
0.066	2.4	4	-102.4	-102.4	4
0.068	2.4	4.8	-102.4	-102.4	4
0.07	2.4	4.8	-102.4	-102.4	4
0.072	2.4	4	-102.4	-102.4	4
0.074	3.2	4	-102.4	-102.4	4.8
0.076	3.2	4	-102.4	-102.4	4
0.078	3.2	4	-102.4	-102.4	4
0.08	3.2	4.8	-102.4	-102.4	4
0.082	3.2	4	-102.4	-102.4	4
0.084	3.2	4	-102.4	-102.4	4.8
0.086	3.2	4	-102.4	-102.4	4
0.088	2.4	4	-102.4	-102.4	4
0.09	3.2	4	-102.4	-102.4	4
0.092	3.2	4	-102.4	-102.4	4
0.094	2.4	4	-102.4	-102.4	4
0.096	2.4	4	-102.4	-102.4	4
0.098	-102.4	3.2	-102.4	-102.4	4
0.1	-102.4	4.8	-102.4	-102.4	4
0.102	-102.4	4.8	-102.4	-102.4	4
0.104	-102.4	4.8	-102.4	-102.4	4
0.106	-102.4	4	-102.4	-102.4	4
0.108	-102.4	4.8	-102.4	-102.4	4
0.11	-102.4	4	-102.4	-102.4	4
0.112	-102.4	4	-102.4	-102.4	4
0.114	-102.4	4.8	-102.4	-102.4	4
0.116	-102.4	4.8	-102.4	-102.4	4
0.118	-102.4	4	-102.4	-102.4	4
0.12	-102.4	3.2	-102.4	-102.4	4
0.122	-102.4	5.6	-102.4	-102.4	4
0.124	-102.4	4	-102.4	-102.4	3.2
0.126	-102.4	4.8	-102.4	-102.4	4
0.128	-102.4	4	-102.4	-102.4	3.2
0.13	-102.4	4.8	-102.4	-102.4	3.2
0.132	-102.4	4.8	-102.4	-102.4	4
0.134	-102.4	4	-102.4	-102.4	4
0.136	-102.4	4	-102.4	-102.4	4
0.138	-102.4	4	-102.4	-102.4	4
0.14	-102.4	5.6	-102.4	-102.4	4
0.142	-102.4	4	-102.4	-102.4	4
0.144	-102.4	4	-102.4	-102.4	3.2
0.146	-102.4	4	-102.4	-102.4	4
0.148	-102.4	4.8	-102.4	-102.4	4.8
0.15	-102.4	4.8	-102.4	-102.4	4
0.152	-102.4	4.8	-102.4	-102.4	4
0.154	-102.4	4	-102.4	-102.4	4
0.156	-102.4	4.8	-102.4	-102.4	4
0.158	-102.4	4.8	-102.4	-102.4	4
0.16	-102.4	4	-102.4	-102.4	4
0.162	-102.4	4	-102.4	-102.4	4
0.164	-102.4	4	-102.4	-102.4	4
0.166	-102.4	4	-102.4	-102.4	4
0.168	-102.4	4.8	-102.4	-102.4	3.2
0.17	-102.4	4	-102.4	-102.4	4
0.172	-102.4	4.8	-102.4	-102.4	4
0.174	-102.4	4	-102.4	-102.4	4
