Time	1st	2nd	3rd	4th	5th
0	4	-102.4	-102.4	3.2	4
0.002	4	-102.4	-102.4	3.2	4
0.004	4	-102.4	-102.4	4	4
0.006	4	-102.4	-102.4	4	3.2
0.008	4	-102.4	-102.4	4	4
0.01	5.6	-102.4	-102.4	4	4.8
0.012	4.8	-102.4	-102.4	3.2	4
0.014	4	-102.4	-102.4	4	4
0.016	4	-102.4	-102.4	4	4
0.018	4.8	-102.4	-102.4	4	4
0.02	4	-102.4	-102.4	3.2	4
0.022	4.8	-102.4	-102.4	4	4
0.024	4	-102.4	-102.4	3.2	4
0.026	4.8	-102.4	-102.4	4	4
0.028	4	-102.4	-102.4	4	4
0.03	4	-102.4	-102.4	4	4.8
0.032	4	-102.4	-102.4	3.2	4
0.034	4.8	-102.4	-102.4	4	3.2
0.036	4	-102.4	-102.4	4	4
0.038	5.6	-102.4	-102.4	4	4.8
0.04	4.8	-102.4	-102.4	4	4
0.042	4	-102.4	-102.4	4	4
0.044	4	-102.4	-102.4	3.2	4.8
0.046	4.8	-102.4	-102.4	3.2	-102.4
0.048	4.8	-102.4	-102.4	4	-102.4
0.05	5.6	-102.4	-102.4	4	-102.4
0.052	4.8	-102.4	-102.4	4	-102.4
0.054	4.8	-102.4	-102.4	3.2	-102.4
0.056	4	-102.4	-102.4	4	-102.4
0.058	4.8	-102.4	-102.4	4	-102.4
0.06	4	-102.4	-102.4	4	-102.4
0.062	4.8	-102.4	-102.4	4	-102.4
0.064	4	-102.4	-102.4	3.2	-102.4
0.066	4.8	-102.4	-102.4	4	-102.4
0.068	4	-102.4	-102.4	4	-102.4
0.07	4	-102.4	-102.4	4	-102.4
0.072	4.8	-102.4	-102.4	4	-102.4
0.074	4.8	-102.4	-102.4	4	-102.4
0.076	4.8	-102.4	-102.4	3.2	-102.4
0.078	4.8	-102.4	-102.4	4	-102.4
0.08	4	-102.4	-102.4	4	-102.4
0.082	4.8	-102.4	-102.4	4	-102.4
0.084	4.8	-102.4	-102.4	4	-102.4
0.086	4	-102.4	-102.4	3.2	-102.4
0.088	4	-102.4	-102.4	3.2	-102.4
0.09	5.6	-102.4	-102.4	4	-102.4
0.092	4	-102.4	-102.4	4	-102.4
0.094	5.6	-102.4	-102.4	4	-102.4
0.096	4	-102.4	-102.4	3.2	-102.4
0.098	4	-102.4	-102.4	4	-102.4
0.1	4.8	-102.4	-102.4	4	-102.4
0.102	4.8	-102.4	-102.4	4	-102.4
0.104	4.8	-102.4	4.8	3.2	-102.4
0.106	4.8	-102.4	4	3.2	-102.4
0.108	4	-102.4	4.8	4	-102.4
0.11	4.8	-102.4	4	3.2	-102.4
0.112	4.8	-102.4	4	4	-102.4
0.114	5.6	-102.4	4	4	-102.4
0.116	4	-102.4	3.2	4	-102.4
0.118	4.8	-102.4	4.8	4	-102.4
0.12	4.8	-102.4	4	4	-102.4
0.122	4	-102.4	4	4	-102.4
