Time	1st	2nd	3rd	4th	5th
0	-102.4	-102.4	-102.4	4	4.8
0.002	-102.4	-102.4	-102.4	4.8	4
0.004	-102.4	-102.4	-102.4	4.8	4
0.006	-102.4	4	-102.4	4	3.2
0.008	-102.4	4	-102.4	4	4.8
0.01	-102.4	4	-102.4	4	3.2
0.012	-102.4	4.8	-102.4	4	4
0.014	-102.4	4	-102.4	4.8	3.2
0.016	-102.4	4	-102.4	4.8	4
0.018	-102.4	4	-102.4	4	4
0.02	-102.4	4.8	-102.4	4	4
0.022	-102.4	4	-102.4	4.8	4
0.024	-102.4	4.8	-102.4	3.2	4.8
0.026	-102.4	4	-102.4	4.8	4
0.028	-102.4	4	-102.4	4	4.8
0.03	-102.4	4	-102.4	4	4
0.032	-102.4	4	-102.4	4	4
0.034	-102.4	4	-102.4	4	4
0.036	-102.4	4.8	-102.4	4.8	3.2
0.038	-102.4	4	-102.4	4	4
0.04	-102.4	4	-102.4	4.8	4
0.042	-102.4	4	-102.4	4.8	4
0.044	-102.4	4	-102.4	3.2	4
0.046	-102.4	4	-102.4	3.2	3.2
0.048	-102.4	4	-102.4	4	4.8
0.05	-102.4	4	-102.4	4	3.2
0.052	-102.4	4	-102.4	4.8	4
0.054	-102.4	4	-102.4	4	4
0.056	-102.4	4.8	-102.4	3.2	4
0.058	-102.4	5.6	-102.4	4	4
0.06	-102.4	4	-102.4	4.8	4
0.062	-102.4	4	-102.4	4.8	4
0.064	-102.4	4	-102.4	4	4.8
0.066	-102.4	4	-102.4	4	4
0.068	-102.4	4	-102.4	4	4
0.07	-102.4	4	-102.4	4	4
0.072	-102.4	4.8	-102.4	4	4
0.074	-102.4	4	-102.4	4	3.2
0.076	-102.4	4.8	-102.4	4	4
0.078	-102.4	4	-102.4	4	4
0.08	-102.4	4.8	-102.4	4.8	3.2
0.082	-102.4	4	-102.4	4	4
0.084	-102.4	4	-102.4	5.6	4.8
0.086	-102.4	4	-102.4	4	4.8
0.088	-102.4	4	-102.4	3.2	4.8
0.09	-102.4	4	-102.4	4	4
0.092	-102.4	4	-102.4	4	4
0.094	-102.4	4	-102.4	4.8	4
0.096	-102.4	3.2	-102.4	4	4
0.098	-102.4	4	-102.4	4	3.2
0.1	-102.4	4.8	-102.4	5.6	4
0.102	-102.4	4	-102.4	4	3.2
0.104	-102.4	4	-102.4	4.8	4
0.106	-102.4	4	-102.4	4	4
0.108	-102.4	4.8	-102.4	4	3.2
0.11	-102.4	4	-102.4	4	4
0.112	-102.4	4	-102.4	4	4
0.114	-102.4	4	-102.4	4.8	4
0.116	-102.4	4	-102.4	4	4
0.118	-102.4	4	-102.4	4	4
0.12	-102.4	4.8	-102.4	4	3.2
0.122	-102.4	4	-102.4	4.8	4.8
0.124	-102.4	4	-102.4	4	4.8
0.126	-102.4	4	-102.4	4.8	4
0.128	-102.4	4	-102.4	4.8	4.8
0.13	-102.4	4	-102.4	4	4
0.132	-102.4	4	-102.4	4	4
0.134	-102.4	4	-102.4	4.8	4
0.136	-102.4	4	-102.4	3.2	4
0.138	-102.4	4.8	-102.4	4	3.2
0.14	-102.4	4	-102.4	4	4
0.142	-102.4	4.8	-102.4	4	4
0.144	-102.4	4	-102.4	4.8	4.8
0.146	-102.4	4.8	-102.4	4	4
0.148	-102.4	3.2	-102.4	4	4
0.15	-102.4	4.8	-102.4	4.8	3.2
0.152	-102.4	4	-102.4	4.8	4
0.154	-102.4	4	-102.4	4	4
0.156	-102.4	4	-102.4	4.8	4
0.158	-102.4	4	-102.4	4	4
0.16	-102.4	4	-102.4	4	5.6
0.162	-102.4	4	-102.4	4	4
0.164	-102.4	4	-102.4	4	4.8
0.166	-102.4	4	-102.4	4	4
0.168	-102.4	4.8	-102.4	4	4
0.17	-102.4	4	-102.4	4	4.8
0.172	-102.4	4.8	-102.4	4	4
0.174	-102.4	4	-102.4	5.6	4
0.176	-102.4	4	-102.4	4	4
0.178	-102.4	4.8	-102.4	4	4
0.18	-102.4	4.8	-102.4	4	4
0.182	-102.4	4	-102.4	4	4
0.184	-102.4	4	-102.4	4	4.8
0.186	-102.4	4	-102.4	4.8	4
0.188	-102.4	4	-102.4	4	4
0.19	-102.4	4.8	-102.4	4.8	3.2
0.192	-102.4	4	-102.4	4	3.2
0.194	-102.4	4	-102.4	4.8	4
0.196	-102.4	4	-102.4	4	4
0.198	-102.4	4	-102.4	4	4
0.2	-102.4	4	-102.4	4.8	3.2
0.202	-102.4	4.8	-102.4	4	4.8
0.204	-102.4	4.8	-102.4	4	5.6
0.206	-102.4	4	-102.4	4	4
0.208	-102.4	4	-102.4	4	4
0.21	-102.4	4	-102.4	4.8	4
0.212	-102.4	5.6	-102.4	4	3.2
0.214	-102.4	4.8	-102.4	4.8	4
0.216	-102.4	4	-102.4	4	4
0.218	-102.4	4	-102.4	4	4
0.22	-102.4	4.8	-102.4	4.8	4
0.222	-102.4	4	-102.4	4.8	4
0.224	-102.4	4	-102.4	4	4
