Time	1st	2nd	3rd	4th	5th
0	2.4	1.6	3.2	2.4	1.6
0.002	2.4	1.6	1.6	1.6	1.6
0.004	1.6	1.6	2.4	1.6	0.8
0.006	1.6	1.6	2.4	2.4	2.4
0.008	1.6	1.6	2.4	1.6	2.4
0.01	2.4	0.8	2.4	2.4	1.6
0.012	2.4	1.6	2.4	2.4	2.4
0.014	2.4	1.6	3.2	2.4	1.6
0.016	2.4	2.4	2.4	2.4	2.4
0.018	1.6	1.6	2.4	0.8	2.4
0.02	1.6	1.6	3.2	2.4	2.4
0.022	2.4	1.6	1.6	1.6	2.4
0.024	1.6	1.6	2.4	2.4	2.4
0.026	1.6	1.6	3.2	1.6	2.4
0.028	0.8	1.6	2.4	2.4	1.6
0.03	1.6	1.6	2.4	1.6	2.4
0.032	1.6	1.6	2.4	2.4	1.6
0.034	2.4	0.8	1.6	2.4	2.4
0.036	2.4	1.6	2.4	0.8	2.4
0.038	2.4	2.4	2.4	0.8	1.6
0.04	2.4	1.6	2.4	1.6	2.4
0.042	1.6	1.6	2.4	2.4	0.8
0.044	2.4	1.6	2.4	2.4	1.6
0.046	2.4	1.6	2.4	1.6	1.6
0.048	2.4	1.6	2.4	1.6	2.4
0.05	1.6	1.6	2.4	1.6	2.4
0.052	1.6	0.8	1.6	1.6	1.6
0.054	2.4	1.6	2.4	2.4	1.6
0.056	0.8	2.4	2.4	1.6	2.4
0.058	2.4	1.6	2.4	1.6	2.4
0.06	1.6	1.6	2.4	1.6	1.6
0.062	2.4	1.6	2.4	2.4	1.6
0.064	2.4	1.6	2.4	1.6	1.6
0.066	2.4	0.8	2.4	1.6	1.6
0.068	2.4	2.4	1.6	1.6	2.4
0.07	1.6	1.6	2.4	1.6	1.6
0.072	2.4	1.6	2.4	1.6	1.6
0.074	2.4	2.4	2.4	2.4	1.6
0.076	2.4	2.4	2.4	2.4	1.6
0.078	2.4	0.8	2.4	2.4	2.4
0.08	1.6	1.6	2.4	1.6	1.6
0.082	2.4	1.6	2.4	1.6	1.6
0.084	2.4	2.4	2.4	2.4	0.8
0.086	1.6	0.8	2.4	1.6	1.6
0.088	2.4	0.8	2.4	2.4	2.4
0.09	1.6	1.6	2.4	1.6	2.4
0.092	2.4	1.6	2.4	2.4	2.4
0.094	2.4	1.6	1.6	2.4	2.4
0.096	2.4	1.6	2.4	2.4	2.4
0.098	2.4	2.4	2.4	1.6	2.4
0.1	2.4	1.6	2.4	1.6	1.6
0.102	1.6	1.6	2.4	2.4	2.4
0.104	2.4	0.8	2.4	2.4	2.4
0.106	1.6	1.6	2.4	2.4	2.4
0.108	1.6	1.6	1.6	2.4	0.8
0.11	1.6	1.6	2.4	1.6	0.8
0.112	2.4	1.6	2.4	2.4	0.8
0.114	2.4	1.6	2.4	2.4	0.8
