Time	1st	2nd	3rd	4th	5th
0	3.2	-102.4	-102.4	-102.4	2.4
0.002	3.2	-102.4	-102.4	-102.4	2.4
0.004	3.2	-102.4	-102.4	-102.4	1.6
0.006	2.4	-102.4	-102.4	-102.4	1.6
0.008	3.2	-102.4	-102.4	-102.4	2.4
0.01	3.2	-102.4	-102.4	-102.4	1.6
0.012	3.2	-102.4	-102.4	-102.4	2.4
0.014	3.2	-102.4	-102.4	-102.4	2.4
0.016	3.2	-102.4	-102.4	-102.4	1.6
0.018	4	-102.4	-102.4	-102.4	2.4
0.02	2.4	-102.4	-102.4	-102.4	1.6
0.022	3.2	-102.4	-102.4	-102.4	2.4
0.024	3.2	-102.4	-102.4	-102.4	2.4
0.026	2.4	-102.4	-102.4	-102.4	2.4
0.028	3.2	-102.4	-102.4	-102.4	1.6
0.03	3.2	-102.4	-102.4	-102.4	3.2
0.032	3.2	-102.4	-102.4	-102.4	1.6
0.034	2.4	-102.4	-102.4	-102.4	2.4
0.036	3.2	-102.4	-102.4	-102.4	1.6
0.038	2.4	-102.4	-102.4	-102.4	1.6
0.04	4	3.2	-102.4	-102.4	2.4
0.042	3.2	3.2	-102.4	-102.4	1.6
0.044	2.4	3.2	-102.4	-102.4	2.4
0.046	2.4	3.2	-102.4	-102.4	3.2
0.048	3.2	3.2	-102.4	-102.4	1.6
0.05	3.2	3.2	-102.4	-102.4	1.6
0.052	3.2	3.2	-102.4	-102.4	1.6
0.054	3.2	3.2	-102.4	-102.4	2.4
0.056	3.2	3.2	-102.4	-102.4	2.4
0.058	3.2	4	-102.4	-102.4	2.4
0.06	3.2	4	-102.4	-102.4	2.4
0.062	3.2	4	-102.4	-102.4	2.4
0.064	3.2	3.2	-102.4	-102.4	4
0.066	3.2	3.2	-102.4	-102.4	2.4
0.068	3.2	3.2	-102.4	-102.4	0.8
0.07	4	3.2	-102.4	-102.4	1.6
0.072	3.2	3.2	-102.4	-102.4	2.4
0.074	3.2	3.2	-102.4	-102.4	2.4
0.076	3.2	3.2	-102.4	-102.4	2.4
0.078	3.2	2.4	-102.4	-102.4	2.4
0.08	3.2	3.2	-102.4	-102.4	2.4
0.082	3.2	3.2	-102.4	-102.4	2.4
0.084	3.2	3.2	-102.4	-102.4	2.4
0.086	3.2	3.2	-102.4	-102.4	2.4
0.088	3.2	3.2	-102.4	-102.4	0.8
0.09	3.2	4	-102.4	-102.4	2.4
0.092	3.2	4	-102.4	-102.4	3.2
0.094	3.2	3.2	-102.4	-102.4	2.4
0.096	3.2	3.2	-102.4	-102.4	2.4
0.098	3.2	3.2	-102.4	-102.4	2.4
0.1	3.2	2.4	-102.4	-102.4	2.4
0.102	3.2	3.2	-102.4	-102.4	2.4
0.104	3.2	3.2	-102.4	-102.4	2.4
0.106	3.2	3.2	-102.4	-102.4	2.4
0.108	3.2	3.2	-102.4	-102.4	2.4
0.11	2.4	4	-102.4	-102.4	2.4
0.112	3.2	3.2	-102.4	-102.4	3.2
0.114	3.2	3.2	-102.4	-102.4	2.4
0.116	3.2	3.2	-102.4	-102.4	3.2
0.118	3.2	3.2	-102.4	-102.4	3.2
0.12	3.2	4.8	-102.4	-102.4	2.4
0.122	4	3.2	-102.4	-102.4	3.2
0.124	4	3.2	-102.4	-102.4	2.4
0.126	3.2	3.2	-102.4	-102.4	2.4
0.128	3.2	3.2	-102.4	-102.4	2.4
0.13	3.2	4	-102.4	-102.4	2.4
0.132	3.2	3.2	-102.4	-102.4	2.4
0.134	3.2	3.2	-102.4	-102.4	3.2
0.136	2.4	3.2	-102.4	-102.4	2.4
0.138	3.2	4	-102.4	-102.4	2.4
0.14	4	4	-102.4	-102.4	2.4
0.142	3.2	3.2	-102.4	-102.4	2.4
0.144	3.2	4	-102.4	-102.4	2.4
0.146	2.4	3.2	-102.4	-102.4	2.4
0.148	3.2	4	-102.4	-102.4	2.4
0.15	3.2	3.2	-102.4	-102.4	2.4
0.152	3.2	3.2	-102.4	-102.4	3.2
0.154	4	3.2	-102.4	-102.4	3.2
0.156	2.4	3.2	-102.4	-102.4	2.4
0.158	3.2	3.2	-102.4	-102.4	2.4
0.16	3.2	4	-102.4	-102.4	3.2
0.162	4	3.2	-102.4	-102.4	2.4
0.164	3.2	3.2	-102.4	-102.4	2.4
0.166	2.4	4	-102.4	-102.4	2.4
0.168	3.2	3.2	-102.4	-102.4	3.2
0.17	3.2	3.2	-102.4	-102.4	2.4
0.172	3.2	3.2	-102.4	-102.4	3.2
0.174	3.2	3.2	-102.4	-102.4	3.2
0.176	3.2	3.2	-102.4	-102.4	2.4
0.178	2.4	4	-102.4	-102.4	2.4
0.18	3.2	3.2	-102.4	-102.4	2.4
0.182	3.2	3.2	-102.4	-102.4	2.4
0.184	3.2	3.2	-102.4	-102.4	2.4
0.186	3.2	4	-102.4	-102.4	2.4
0.188	4	4	-102.4	-102.4	2.4
0.19	2.4	3.2	-102.4	-102.4	2.4
0.192	3.2	3.2	-102.4	-102.4	2.4
0.194	3.2	2.4	-102.4	-102.4	3.2
0.196	4	3.2	-102.4	-102.4	3.2
0.198	2.4	3.2	-102.4	-102.4	2.4
0.2	3.2	4	-102.4	-102.4	2.4
0.202	2.4	4	-102.4	-102.4	2.4
0.204	3.2	3.2	-102.4	-102.4	3.2
0.206	3.2	4	-102.4	-102.4	3.2
0.208	3.2	3.2	-102.4	-102.4	3.2
0.21	3.2	3.2	-102.4	-102.4	2.4
0.212	3.2	3.2	-102.4	-102.4	3.2
0.214	3.2	3.2	-102.4	-102.4	3.2
0.216	3.2	3.2	-102.4	-102.4	2.4
0.218	3.2	3.2	-102.4	-102.4	2.4
0.22	3.2	3.2	-102.4	-102.4	2.4
0.222	3.2	3.2	-102.4	-102.4	3.2
0.224	3.2	4	-102.4	-102.4	3.2
0.226	3.2	3.2	-102.4	-102.4	3.2
0.228	3.2	3.2	-102.4	-102.4	2.4
0.23	2.4	3.2	-102.4	-102.4	2.4
0.232	3.2	4	-102.4	-102.4	2.4
0.234	3.2	3.2	-102.4	-102.4	3.2
0.236	3.2	3.2	-102.4	-102.4	3.2
0.238	3.2	3.2	-102.4	-102.4	2.4
0.24	3.2	3.2	-102.4	-102.4	2.4
0.242	3.2	3.2	-102.4	-102.4	2.4
0.244	3.2	4	-102.4	-102.4	3.2
0.246	2.4	3.2	-102.4	-102.4	1.6
0.248	3.2	4	-102.4	-102.4	3.2
0.25	1.6	3.2	-102.4	-102.4	2.4
0.252	3.2	3.2	-102.4	-102.4	2.4
0.254	3.2	3.2	-102.4	-102.4	3.2
0.256	3.2	3.2	-102.4	-102.4	3.2
0.258	3.2	3.2	-102.4	-102.4	3.2
0.26	3.2	3.2	-102.4	-102.4	3.2
0.262	2.4	3.2	-102.4	-102.4	3.2
0.264	3.2	4	-102.4	-102.4	3.2
0.266	3.2	3.2	-102.4	-102.4	-102.4
0.268	3.2	4	-102.4	-102.4	-102.4
0.27	2.4	3.2	-102.4	-102.4	-102.4
0.272	3.2	3.2	-102.4	-102.4	-102.4
0.274	3.2	4	-102.4	-102.4	-102.4
0.276	3.2	3.2	-102.4	-102.4	-102.4
0.278	4	3.2	-102.4	-102.4	-102.4
0.28	3.2	3.2	-102.4	-102.4	-102.4
0.282	3.2	3.2	-102.4	-102.4	-102.4
0.284	2.4	4	-102.4	-102.4	-102.4
0.286	3.2	3.2	-102.4	-102.4	-102.4
0.288	3.2	3.2	-102.4	-102.4	-102.4
0.29	2.4	3.2	-102.4	-102.4	-102.4
0.292	3.2	4	-102.4	-102.4	-102.4
0.294	3.2	4	-102.4	-102.4	-102.4
0.296	3.2	3.2	-102.4	-102.4	-102.4
0.298	3.2	3.2	-102.4	-102.4	-102.4
0.3	3.2	4	-102.4	-102.4	-102.4
0.302	3.2	4	-102.4	-102.4	-102.4
