Time	1st	2nd	3rd	4th	5th	6th	7th	8th	9th	10th
0	0.176	-0.992	0.232	-0.992	-0.992	-0.072	0.208	-0.992	0.232	0.024
0.002	0.248	-0.992	0.136	-0.992	-0.992	-0.36	-0.16	-0.992	0.264	-0.104
0.004	0.128	-0.992	-0.056	-0.992	-0.992	-0.344	-0.312	-0.992	0.104	-0.344
0.006	-0.08	-0.992	-0.232	-0.992	-0.992	-0.096	-0.184	-0.992	-0.08	-0.344
0.008	-0.224	-0.992	-0.352	-0.992	-0.992	0.056	-0.216	-0.992	-0.232	-0.08
0.01	-0.336	-0.992	-0.2	-0.992	-0.992	0.248	0.04	-0.992	-0.352	0.128
0.012	-0.208	-0.992	0.008	-0.992	-0.992	0.272	0.28	-0.992	-0.184	0.288
0.014	0.016	-0.992	0.176	-0.992	0.064	0.144	0.256	-0.992	0.072	0.296
0.016	0.176	-0.992	0.288	-0.992	-0.056	-0.056	0.144	-0.992	0.176	0.152
0.018	0.256	-0.992	0.176	-0.992	-0.2	-0.248	-0.016	-0.992	0.28	-0.16
0.02	0.216	-0.992	-0.032	-0.992	-0.36	-0.344	-0.16	-0.992	0.2	-0.256
0.022	-0.024	-0.992	-0.208	-0.992	-0.184	-0.224	-0.408	-0.992	-0.056	-0.216
0.024	-0.168	-0.992	-0.352	-0.992	-0.032	-0.056	-0.28	-0.992	-0.192	-0.104
0.026	-0.288	-0.992	-0.272	-0.992	0.216	0.208	0	-0.992	-0.36	0.064
0.028	-0.296	-0.992	-0.048	-0.992	0.304	0.28	0.2	-0.992	-0.232	0.2
0.03	-0.008	-0.992	0.176	-0.992	0.208	0.272	0.272	-0.992	-0.032	0.296
0.032	0.2	-0.992	0.2	-0.992	0.024	0.032	0.256	-0.992	0.192	0.176
0.034	0.272	-0.992	0.28	-0.992	-0.208	-0.128	0.056	-0.992	0.296	-0.032
0.036	0.28	-0.992	0.008	-0.992	-0.336	-0.384	-0.184	-0.992	0.2	-0.264
0.038	0.008	-0.992	-0.128	-0.992	-0.256	-0.272	-0.28	-0.992	0.024	-0.312
0.04	-0.128	-0.992	-0.312	-0.992	-0.056	-0.128	-0.336	-0.992	-0.16	-0.192
0.042	-0.28	-0.992	-0.368	-0.992	0.176	0.104	-0.08	-0.992	-0.328	0.056
