Time	1st	2nd	3rd	4th	5th	6th	7th	8th	9th	10th
0	-0.072	-0.992	-0.992	-0.992	-0.192	-0.992	-0.992	-0.992	-0.992	0.056
0.002	0.128	-0.992	-0.992	-0.992	0.024	-0.992	-0.992	-0.992	-0.992	-0.136
0.004	0.232	-0.992	-0.992	-0.992	0.248	-0.992	-0.992	-0.992	-0.992	-0.32
0.006	0.304	-0.992	-0.992	-0.992	0.288	-0.992	-0.992	-0.992	-0.992	-0.336
0.008	0.136	-0.992	-0.992	-0.992	0.208	-0.992	-0.992	-0.992	-0.992	-0.056
0.01	-0.056	-0.992	-0.992	-0.992	-0.032	-0.992	-0.992	-0.992	-0.992	0.104
0.012	-0.28	-0.992	-0.992	-0.992	-0.192	-0.992	-0.992	-0.992	-0.992	0.32
0.014	-0.368	-0.992	-0.992	-0.992	-0.264	-0.992	-0.992	-0.992	-0.992	0.296
0.016	-0.112	-0.992	-0.992	-0.992	-0.232	-0.992	-0.992	-0.992	-0.992	0.104
0.018	0.072	-0.992	-0.992	-0.992	-0.08	-0.992	-0.992	-0.992	-0.992	-0.08
0.02	0.24	-0.992	-0.992	-0.992	0.224	-0.992	-0.992	-0.992	-0.992	-0.288
0.022	0.28	-0.992	-0.992	-0.992	0.248	-0.992	-0.992	-0.992	-0.992	-0.272
0.024	0.208	-0.992	-0.992	-0.992	0.248	-0.992	-0.992	-0.992	-0.992	-0.12
0.026	0	-0.992	-0.992	-0.992	0.056	-0.992	-0.992	-0.992	-0.992	0.048
0.028	-0.192	-0.992	-0.992	-0.992	-0.096	-0.992	-0.992	-0.992	-0.992	0.28
0.03	-0.312	-0.992	-0.992	-0.992	-0.296	-0.992	-0.992	-0.992	-0.992	0.288
0.032	-0.264	-0.992	-0.992	-0.992	-0.272	-0.992	-0.992	-0.992	-0.992	0.152
0.034	0.024	-0.992	-0.992	-0.992	-0.072	-0.992	-0.992	-0.992	-0.992	-0.104
0.036	0.2	-0.992	-0.992	-0.992	0.096	-0.992	-0.992	-0.992	-0.992	-0.184
0.038	0.264	-0.992	-0.992	-0.992	0.208	-0.992	-0.992	-0.992	-0.992	-0.312
0.04	0.24	-0.256	-0.992	-0.992	0.296	-0.992	-0.992	-0.992	-0.992	-0.992
0.042	0.056	-0.256	-0.992	-0.992	0.144	-0.992	-0.992	-0.992	-0.992	-0.992
