Time	1st	2nd	3rd	4th	5th	6th	7th	8th	9th	10th
0	-0.992	-0.992	0.2	-0.272	-0.992	0.048	-0.208	-0.992	0.016	-0.992
0.002	-0.992	-0.992	0.296	-0.256	-0.992	0.232	-0.384	-0.992	-0.152	-0.992
0.004	-0.992	-0.992	0.224	-0.104	-0.992	0.304	-0.264	-0.992	-0.264	-0.992
0.006	-0.992	-0.992	0	0.04	-0.992	0.136	-0.016	-0.992	-0.312	-0.992
0.008	-0.992	-0.992	-0.2	0.28	-0.992	-0.008	0.216	-0.992	-0.088	-0.992
0.01	-0.992	-0.992	-0.224	0.232	-0.992	-0.232	0.32	-0.992	0.144	-0.992
0.012	-0.992	-0.992	-0.264	0.152	-0.992	-0.184	0.272	-0.992	0.216	-0.992
0.014	-0.992	-0.992	-0.048	-0.048	-0.992	-0.256	0.104	-0.992	0.256	-0.992
0.016	-0.992	-0.992	0.096	-0.232	-0.992	-0.056	-0.176	-0.992	0.152	-0.992
0.018	-0.992	-0.992	-0.992	-0.336	-0.992	0.168	-0.256	-0.992	-0.08	-0.992
0.02	-0.992	-0.992	-0.992	-0.224	-0.992	0.288	-0.312	-0.992	-0.224	-0.992
0.022	-0.992	-0.992	-0.992	0.04	-0.992	0.28	-0.176	-0.016	-0.344	-0.992
0.024	-0.992	-0.992	-0.992	0.208	-0.992	0.128	0.048	0.168	-0.208	-0.992
0.026	-0.992	-0.992	-0.992	0.28	-0.992	-0.992	0.248	0.304	0.04	-0.992
0.028	-0.992	-0.992	-0.992	0.24	-0.992	-0.992	0.312	0.24	0.152	-0.992
0.03	-0.992	-0.992	-0.992	0	-0.992	-0.992	0.16	0.072	0.328	-0.992
0.032	-0.992	-0.992	-0.992	-0.256	-0.992	-0.992	-0.064	-0.168	0.208	-0.992
0.034	-0.992	-0.992	-0.992	-0.304	-0.992	-0.992	-0.256	-0.336	-0.032	-0.992
0.036	-0.992	-0.992	-0.992	-0.256	-0.992	-0.992	-0.36	-0.256	-0.208	-0.992
0.038	-0.992	-0.992	-0.992	-0.056	-0.992	-0.992	-0.24	-0.064	-0.32	-0.992
