Time	1st	2nd	3rd	4th	5th	6th	7th	8th	9th	10th
0	-1.024	-1.024	0.264	-0.272	0.064	0.2	-1.024	-1.024	-1.024	-0.312
0.002	-1.024	-1.024	0.248	-0.024	-0.176	0.304	-1.024	-1.024	-1.024	-0.256
0.004	-1.024	-1.024	0.104	0.176	-0.24	0.176	-1.024	-1.024	-1.024	0.024
0.006	-1.024	-1.024	-0.064	0.24	-0.24	0.072	-1.024	-1.024	-1.024	0.224
0.008	-1.024	-1.024	-0.296	0.256	0.016	-0.208	-1.024	-1.024	-1.024	0.344
0.01	-1.024	-1.024	-0.296	0.144	0.168	-0.312	-1.024	-1.024	-1.024	0.248
0.012	-1.024	-1.024	-0.128	-0.128	0.248	-0.24	-1.024	-1.024	-1.024	0.04
0.014	-1.024	-1.024	0.08	-0.288	0.248	-0.008	-1.024	-1.024	-1.024	-0.112
0.016	-1.024	-1.024	0.16	-0.296	0.088	0.224	-1.024	-1.024	-1.024	-0.296
0.018	-1.024	-1.024	0.296	-0.128	-0.08	0.32	-1.024	-1.024	-1.024	-0.264
0.02	-1.024	-1.024	0.192	0.096	-0.264	0.24	-1.024	-1.024	-1.024	-0.048
0.022	-1.024	-1.024	-0.008	0.248	-0.24	0.04	-1.024	-1.024	-1.024	0.144
0.024	-1.024	-1.024	-0.192	0.28	-0.056	-0.152	-1.024	-1.024	-1.024	0.224
0.026	-1.024	-1.024	-0.248	-1.024	0.12	-0.32	-1.024	-1.024	-1.024	0.312
0.028	-1.024	-1.024	-0.208	-1.024	0.296	-0.256	-1.024	-1.024	-1.024	0.128
0.03	-1.024	-1.024	0.08	-1.024	0.288	-0.056	-1.024	-1.024	-1.024	-0.064
0.032	-1.024	-1.024	0.224	-1.024	0.224	0.12	-1.024	-1.024	-1.024	-0.216
0.034	-1.024	-1.024	0.272	-1.024	-0.048	0.264	-1.024	-1.024	-1.024	-0.28
0.036	-1.024	-1.024	0.256	-1.024	-0.184	0.28	-1.024	-1.024	-1.024	-0.144
0.038	-1.024	-1.024	0.064	-1.024	-0.264	0.128	-1.024	-1.024	-1.024	0.088
0.04	-1.024	-1.024	-0.112	-1.024	-0.128	-0.024	-1.024	-1.024	-1.024	0.224
0.042	-1.024	-1.024	-0.296	-1.024	0.048	-0.288	-1.024	-1.024	-1.024	0.272
0.044	-1.024	-1.024	-0.248	-1.024	0.232	-0.336	-1.024	-1.024	-1.024	0.192
0.046	-1.024	-1.024	-0.08	-1.024	0.312	-0.144	-1.024	-1.024	-1.024	-0.032
0.048	-1.024	-1.024	0.168	-1.024	0.184	0.088	-1.024	-1.024	-1.024	-0.136
0.05	-1.024	-1.024	0.264	-1.024	0.04	0.224	-1.024	-1.024	-1.024	-0.28
0.052	-1.024	-1.024	0.248	-1.024	-0.152	0.288	-1.024	-1.024	-1.024	-0.184
0.054	-1.024	-1.024	0.096	-1.024	-0.312	0.208	-1.024	-1.024	-1.024	0.04
0.056	-1.024	-1.024	-0.096	-1.024	-0.176	0.016	-1.024	-1.024	-1.024	0.2
0.058	-1.024	-1.024	-0.24	-1.024	0.016	-0.184	-1.024	-1.024	-1.024	0.28
0.06	-1.024	-1.024	-0.312	-1.024	0.2	-0.312	-1.024	-1.024	-1.024	0.224
0.062	-1.024	-1.024	-0.056	-1.024	0.264	-0.2	-1.024	-1.024	-1.024	0.016
0.064	-1.024	-1.024	0.136	-1.024	0.296	0.016	-1.024	-1.024	-1.024	-0.136
0.066	-1.024	-1.024	0.2	-1.024	0.112	0.168	-1.024	-1.024	-1.024	-0.328
0.068	-1.024	-1.024	0.248	-1.024	-0.088	0.32	-1.024	-1.024	-1.024	-0.264
0.07	-1.024	-1.024	0.2	-1.024	-0.216	0.216	-1.024	-1.024	-1.024	-0.08
0.072	-1.024	-1.024	-0.016	-1.024	-0.296	0.088	-1.024	-1.024	-1.024	0.12
0.074	-1.024	-1.024	-0.264	-1.024	-0.112	-0.12	-1.024	-1.024	-1.024	0.248
0.076	-1.024	-1.024	-0.256	-1.024	0.144	-0.288	-1.024	-1.024	-1.024	0.296
0.078	-1.024	-1.024	-0.152	-1.024	0.256	-0.296	-1.024	-1.024	-1.024	0.112
0.08	-1.024	-1.024	0.048	-1.024	0.264	-0.032	-1.024	-1.024	-1.024	-0.096
0.082	-1.024	-1.024	0.176	-1.024	0.16	0.12	-1.024	-1.024	-1.024	-0.248
0.084	-1.024	-1.024	0.272	-1.024	-0.048	0.24	-1.024	-1.024	-1.024	-0.296
0.086	-1.024	-1.024	0.224	-1.024	-0.2	0.248	-1.024	-1.024	-1.024	-0.136
0.088	-1.024	-1.024	0.032	-1.024	-0.296	0.144	-1.024	-1.024	-1.024	0.136
0.09	-1.024	-1.024	-0.192	-1.024	-0.12	-0.096	-1.024	-1.024	-1.024	0.208
0.092	-1.024	-1.024	-0.28	-1.024	0.064	-0.248	-1.024	-1.024	-1.024	0.224
0.094	-1.024	-1.024	-0.216	-1.024	0.232	-0.24	-1.024	-1.024	-1.024	0.184
0.096	-1.024	-1.024	0.024	-1.024	0.272	-0.144	-1.024	-1.024	-1.024	-0.048
0.098	-1.024	-1.024	0.168	-1.024	0.216	0.088	-1.024	-1.024	-1.024	-0.248
0.1	-1.024	-1.024	0.264	-1.024	0.016	0.24	-1.024	-1.024	-1.024	-0.32
0.102	-1.024	-1.024	0.24	-1.024	-0.192	0.272	-1.024	-1.024	-1.024	-0.208
0.104	-1.024	-1.024	0.112	-1.024	-0.264	0.168	-1.024	-1.024	-1.024	0
0.106	-1.024	-1.024	-0.08	-1.024	-0.232	-0.04	-1.024	-1.024	-1.024	0.24
0.108	-1.024	-1.024	-0.264	-1.024	0.016	-0.136	-1.024	-1.024	-1.024	0.224
0.11	-1.024	-1.024	-0.312	-1.024	0.184	-0.24	-1.024	-1.024	-1.024	0.216
0.112	-1.024	-1.024	-0.104	-1.024	0.296	-0.192	-1.024	-1.024	-1.024	0.088
0.114	-1.024	-1.024	0.144	-1.024	0.208	0.04	-1.024	-1.024	-1.024	-0.16
0.116	-1.024	-1.024	0.272	-1.024	0.096	0.224	-1.024	-1.024	-1.024	-0.296
0.118	-1.024	-1.024	0.232	-1.024	-0.096	0.296	-1.024	-1.024	-1.024	-0.224
0.12	-1.024	-1.024	0.2	-1.024	-0.336	0.216	-1.024	-1.024	-1.024	-0.088
0.122	-1.024	-1.024	0.016	-1.024	-0.24	0.056	-1.024	-1.024	-1.024	0.2
0.124	-1.024	-1.024	-0.2	-1.024	-0.032	-0.144	-1.024	-1.024	-1.024	0.272
0.126	-1.024	-1.024	-0.28	-1.024	0.144	-0.232	-1.024	-1.024	-1.024	0.272
0.128	-1.024	-1.024	-0.176	-1.024	0.184	-0.224	-1.024	-1.024	-1.024	0.12
0.13	-1.024	-1.024	0.008	-1.024	0.248	-0.064	-1.024	-1.024	-1.024	-0.088
0.132	-1.024	-1.024	0.224	-1.024	0.2	0.16	-1.024	-1.024	-1.024	-0.256
0.134	-1.024	-1.024	0.328	-1.024	-0.016	0.256	-1.024	-1.024	-1.024	-0.32
0.136	-1.024	-1.024	0.256	-1.024	-0.2	0.272	-1.024	-1.024	-1.024	-0.144
0.138	-1.024	-1.024	0.04	-1.024	-0.328	0.16	-1.024	-1.024	-1.024	0.12
0.14	-1.024	-1.024	-0.136	-1.024	-0.136	-0.064	-1.024	-1.024	-1.024	0.248
0.142	-1.024	-1.024	-0.312	-1.024	0.04	-0.264	-1.024	-1.024	-1.024	0.272
0.144	-1.024	-1.024	-0.224	-1.024	0.248	-0.288	-1.024	-1.024	-1.024	0.248
