Time	1st	2nd	3rd	4th	5th	6th	7th	8th	9th	10th
0	0.016	0.28	0.016	-0.24	-1.024	-0.312	-0.192	0.296	-1.024	-0.272
0.002	-0.024	0.272	0.184	-0.352	-1.024	-0.32	0.056	0.256	-1.024	-0.048
0.004	-0.232	0.128	0.288	-0.232	-1.024	-0.152	0.184	0.144	-1.024	0.168
0.006	-0.36	-0.072	0.24	0.048	-1.024	0.072	0.256	-0.104	-1.024	0.224
0.008	-0.144	-0.264	0.048	0.176	-1.024	0.224	0.256	-0.24	-1.024	0.224
0.01	0.016	-0.352	-0.184	0.288	-1.024	0.256	-0.016	-0.288	-1.024	0.016
0.012	0.208	-0.136	-0.384	0.192	-1.024	0.232	-0.2	-0.16	-1.024	-0.16
0.014	0.296	0.12	-0.304	0.016	-1.024	-0.088	-0.368	0.048	-1.024	-0.32
0.016	0.104	0.176	-0.112	-0.2	-1.024	-0.264	-0.328	0.256	-1.024	-0.28
0.018	-0.008	0.272	0.136	-0.32	-1.024	-0.408	-0.088	0.232	-1.024	-0.112
0.02	-0.128	0.168	0.248	-0.28	-1.024	-0.224	0.088	0.136	-1.024	0.104
0.022	-0.4	-0.04	0.248	-0.08	-1.024	0.024	0.224	-0.056	-1.024	0.264
0.024	-0.216	-0.264	0.144	0.176	-1.024	0.216	0.224	-0.24	-1.024	0.272
0.026	0.016	-0.328	-0.088	0.24	-1.024	0.296	0.08	-0.344	-1.024	0.12
0.028	0.128	-0.224	-0.32	0.224	-1.024	0.232	-0.104	-0.24	-1.024	-0.064
0.03	0.288	-0.008	-0.376	0.08	-1.024	0.072	-0.32	0.032	-1.024	-0.264
0.032	0.224	0.12	-0.208	-0.088	-1.024	-0.136	-0.304	0.184	-1.024	-0.36
0.034	0.024	0.296	0.072	-0.264	-1.024	-0.368	-0.104	0.272	-1.024	-0.216
0.036	-0.088	0.2	0.184	-0.312	-1.024	-0.296	0.096	0.248	-1.024	0.04
0.038	-0.344	0.008	0.304	-0.144	-1.024	-0.136	0.224	0.032	-1.024	0.184
0.04	-0.264	-0.184	0.168	0.096	-1.024	0.144	0.296	-0.144	-1.024	0.248
0.042	-0.112	-0.36	0	0.248	-1.024	0.248	0.144	-0.32	-1.024	0.192
0.044	0.096	-1.024	-0.192	0.264	-1.024	0.256	-0.016	-0.28	-1.024	0.024
0.046	0.272	-1.024	-0.336	0.12	-1.024	0.136	-0.224	-0.064	-1.024	-0.224
0.048	0.28	-1.024	-0.28	-0.096	-1.024	-0.064	-0.344	0.12	-1.024	-0.368
0.05	0.144	-1.024	0.016	-0.208	-1.024	-0.272	-0.192	0.256	-1.024	-0.288
0.052	-0.12	-1.024	0.152	-0.344	-1.024	-0.328	0.016	0.288	-1.024	-0.032
0.054	-0.304	-1.024	0.336	-0.208	-1.024	-0.168	0.224	0.096	-1.024	0.2
