PeaktoPeak_Amplitude	Amplitude_positive_peak	Amplitude_negative_peak	Positive_slope	Negative_slope	Time_domain_area	PASA_slope_0_1	PASA_slope_1_2	PASA_slope_2_3	PASA_slope_0_3	Midband_fit_0_1	Midband_fit_1_2	Midband_fit_2_3	Midband_fit_0_3	Intercept_0_1	Intercept_1_2	Intercept_2_3	Intercept_0_3	Frequency_domain_area	FWHM_0_0.5	FWHM_0.5_1	FWHM_1_1.5	FWHM_1.5_2	FWHM_2_2.5	FWHM_2.5_3	Prominences_0_0.5	Prominences_0.5_1	Prominences_1_1.5	Prominences_1.5_2	Prominences_2_2.5	Prominences_2.5_3
124.16	18.23291	105.9271	24.58264	-55.49456	485.0038	-30.4751	-1.71743	-4.21927	-7.34077	3.4399	-7.34811	-10.0011	-4.61935	18.6775	-4.77196	0.547052	6.39181	35.5212	0.061398	0.084213	0.0078351	0.1229	0.04540747	0.04001557	12.5104	16.8433	10.0886	11.7301	12.16142	11.83389
99.52	14.48043	85.03957	18.15863	-39.90292	483.8882	-26.64458	-4.813438	-0.8549469	-7.25997	5.188673	-6.057778	-8.426476	-3.081737	18.51096	1.162379	-6.289109	7.808217	40.76561	0.056301	0.03544497	0.05606711	0.07190283	0.0734859	0.04684246	15.35637	11.5451	13.7898	13.14555	12.2683	11.78588
78.88	14.98677	63.89323	178.8571	-12.32357	482.3954	-27.4917	-4.68132	-1.42879	-7.42032	5.59883	-5.67116	-8.26742	-2.76295	19.3447	1.35081	-4.69544	8.36752	40.0404	0.071419	0.04952191	0.074436	0.10121	0.1154	0.04001557	10.2948	13.02179	12.6315	10.3083	12.1903	11.83389
82.72	19.06861	63.65139	20.89978	-29.78049	481.6675	-26.68872	-4.351464	-1.929408	-7.289398	4.608966	-6.569737	-9.015518	-3.642644	17.95333	-0.04254107	-4.191998	7.291453	46.68448	0.005598413	0.07127236	0.06606542	0.1203885	0.01747085	0.0973549	11.26646	11.80883	12.34485	12.89888	10.61442	13.58524
102.08	17.4056	84.6744	17.40451	-45.98236	482.6437	-28.0289	-4.29988	-1.39843	-7.4098	5.09601	-6.36917	-8.73508	-3.31874	19.1105	0.0806453	-5.23901	7.79596	41.6243	0.04808502	0.070877	0.047678	0.048993	0.047525	0.026289	13.14939	13.8289	13.7748	12.8236	11.4308	11.2415
79.36	15.64071	63.71929	3.895249	-141.9062	480.7955	-28.3034	-5.8884	-2.33284	-8.81166	6.04218	-6.41792	-10.7133	-3.67944	20.1939	2.41467	-4.88122	9.53805	42.5491	0.04808502	0.018185	0.04435687	0.038636	0.016601	0.0094634	13.14939	11.1917	12.39298	12.2183	10.3278	10.0115
119.52	13.94814	105.5719	10.93938	-67.42783	481.2309	-27.91711	-4.668423	-0.1373432	-7.354686	6.140612	-4.806885	-7.652755	-2.088257	20.09917	2.195749	-7.309397	8.943772	53.13272	0.05013947	0.04373071	0.07900586	0.02729931	0.06976291	0.01778572	21.55252	13.57556	15.39694	12.63483	16.62804	10.6431
95.52	20.84258	74.67742	19.14895	-38.61646	487.3902	-26.8291	-5.52383	-1.84465	-7.46316	3.86372	-7.30193	-10.0499	-4.47975	17.2783	0.983819	-5.43824	6.71499	44.5396	0.031965	0.025627	0.047342	0.06288325	0.036299	0.046678	12.0721	12.9314	12.2172	11.98474	12.2545	13.5254
106.88	21.82537	85.05463	34.33119	-32.67477	493.6891	-27.14113	-4.866547	-1.289297	-7.469784	4.84494	-6.445108	-9.159235	-3.569637	18.41551	0.8547129	-5.935992	7.635038	50.7091	0.1021754	0.0596261	0.05677763	0.07488408	0.04425198	0.02360969	13.18969	14.26488	10.74332	12.01645	12.64428	10.28944
83.36	18.69055	64.66945	12.81468	-12.35204	493.0278	-27.29698	-4.992096	-0.9682721	-7.390982	4.486895	-6.842087	-9.343262	-3.882344	18.13539	0.6460576	-6.922582	7.20413	46.48431	0.05757493	0.0497059	0.01952047	0.04562003	0.03438896	0.02984256	10.92774	13.46175	12.186	11.12358	14.43092	12.63686
83.68	19.13549	64.54451	21.007	-12.71666	494.0254	-27.3394	-3.86513	-1.03478	-7.4685	4.76685	-6.40869	-9.32285	-3.63777	18.4365	-0.610994	-6.7359	7.56498	45.6098	0.017846	0.04952191	0.022738	0.029008	0.026365	0.044356	11.5256	13.02179	11.1304	11.7502	10.5929	11.3255
81.92	18.41386	63.50614	33.27468	-20.7563	480.9277	-27.2546	-4.42215	-1.18686	-7.40307	4.77819	-6.5168	-9.11176	-3.59982	18.4055	0.116432	-6.1446	7.50479	37.5355	0.026433	0.030731	0.045606	0.06288325	0.016264	0.04001557	12.7982	10.1018	12.9539	11.98474	12.2047	11.83389
97.6	14.00481	83.59519	22.1025	-12.79059	477.4659	-29.9002	-4.7682	0.644969	-7.48992	4.93304	-8.15046	-9.05426	-4.07067	19.8831	-0.998154	-10.6667	7.1642	40.0761	0.04808502	0.055328	0.0092109	0.010874	0.047075	0.057934	13.14939	13.6865	11.4584	11.1824	10.3501	13.2945
