PeaktoPeak_Amplitude	Amplitude_positive_peak	Amplitude_negative_peak	Positive_slope	Negative_slope	Time_domain_area	PASA_slope_0_1	PASA_slope_1_2	PASA_slope_2_3	PASA_slope_0_3	Midband_fit_0_1	Midband_fit_1_2	Midband_fit_2_3	Midband_fit_0_3	Intercept_0_1	Intercept_1_2	Intercept_2_3	Intercept_0_3	Frequency_domain_area	FWHM_0.5_1	FWHM_1_1.5	FWHM_2_2.5	Prominences_0.5_1	Prominences_1_1.5	Prominences_2_2.5
0.9216	0.25372	0.66788	0.061373	-0.41831	4.4913	-17.819	-1.6154	-2.42403	-5.42156	-33.4311	-42.7963	-43.7888	-39.9954	-24.5216	-40.3732	-37.7287	-31.8631	33.8212	0.034701	0.027597	0.023999	38.4617	17.5101	14.7763
1.024	0.27509	0.74891	0.40817	-0.24103	4.5396	-17.0236	-0.932701	-1.872	-5.21408	-32.9056	-42.1831	-42.9677	-39.3423	-24.3938	-40.7841	-38.2877	-31.5211	29.0801	0.035503	0.027597	0.058194	39.8073	17.5101	12.823
1.0536	0.24867	0.80493	0.27186	-0.30515	4.5468	-17.0782	-1.00164	-2.75568	-4.36927	-34.0492	-42.5005	-42.1208	-39.5475	-25.51	-40.998	-35.2316	-32.9936	29.4023	0.032924	0.027597	0.023615	37.5654	17.5101	15.6785
0.9784	0.25967	0.71873	0.19955	-0.36498	4.5345	-19.007	-0.78161	-2.22869	-4.71634	-33.5516	-41.8482	-42.3042	-39.2237	-24.048	-40.6758	-36.7325	-32.1492	25.0646	0.034285	0.027597	0.032078	36.7746	17.5101	10.3838
1.0296	0.20916	0.82044	0.17775	-0.25884	4.507	-17.2437	-0.92605	-1.81912	-4.69684	-33.5231	-41.7449	-42.4054	-39.2144	-24.9012	-40.3558	-37.8576	-32.1692	30.3963	0.036959	0.027597	0.024379	38.3086	17.5101	12.4183
0.9376	0.24208	0.69552	0.25372	-0.17872	4.5008	-18.653	-1.89016	-3.59673	-5.11614	-33.3436	-42.5338	-42.8184	-39.5555	-24.0171	-39.6986	-33.8266	-31.8813	26.371	0.035935	0.029925	0.034761	39.3502	10.9596	14.7047
1.2104	0.24899	0.96141	0.21382	-0.033747	4.8077	-22.543	-1.73061	-2.24166	-6.12695	-33.3633	-43.7935	-44.9136	-40.6769	-22.0918	-41.1976	-39.3094	-31.4865	30.6598	0.033978	0.02859	0.026972	36.8621	10.1119	16.9742
0.7776	0.18226	0.59534	-0.015179	-0.052248	4.7817	-18.6367	-1.8754	-2.22795	-5.43844	-34.0648	-43.3343	-44.3858	-40.5843	-24.7465	-40.5212	-38.8159	-32.4266	30.0117	0.032495	0.025142	0.021694	32.517	17.6897	15.4148
1.1872	0.23911	0.94809	0.21829	-0.19973	4.7367	-21.379	-3.40891	-3.08627	-5.78057	-33.9561	-43.4094	-44.6127	-40.6475	-23.2666	-38.296	-36.897	-31.9766	28.8678	0.02969	0.026966	0.044778	32.1051	19.4464	13.2662
1.0376	0.40782	0.62978	0.48786	-0.29012	4.6755	-18.8272	-3.01006	-1.87535	-5.90337	-33.6105	-43.3726	-44.8987	-40.6162	-24.1969	-38.8575	-40.2103	-31.7612	30.2605	0.035678	0.028129	0.040514	40.609	23.9572	11.1072
1.1608	0.29134	0.86946	0.29695	-0.029839	4.6911	-20.5656	-4.72974	-1.74057	-6.43355	-32.3552	-42.3607	-44.558	-39.7457	-22.0724	-35.2661	-40.2066	-30.0954	28.2703	0.036863	0.028582	0.0333929	38.4929	16.2015	13.9293
1.0648	0.30832	0.75648	0.30727	-0.2652	4.8567	-17.8336	-2.65093	-1.90165	-5.66525	-33.5956	-43.111	-44.4596	-40.3784	-24.6788	-39.1346	-39.7055	-31.8805	39.6804	0.048174	0.02783	0.0333929	35.0764	20.8336	13.9293
1.3272	0.41874	0.90846	1.1026	-0.2223	4.838	-17.5437	-2.99033	-1.3852	-5.93362	-33.0717	-43.6918	-44.5813	-40.4378	-24.2999	-39.2063	-41.1183	-31.5373	29.6371	0.037612	0.025612	0.036338	45.3927	20.8807	15.6748
