PeaktoPeak_Amplitude	PASA_slope_0_3	PASA_slope_0_1	PASA_slope_1_2	PASA_slope_2_3	Amplitude_positive_peak	Amplitude_negative_peak	Positive_slope	Negative_slope	midbandfit_0_1	midbandfit_1_2	midbandfit_2_3	midbandfit_0_3	intercept_0_1	intercept_1_2	intercept_2_3	intercept_0_3	FWHM_0_0.5	FWHM_0.5_1	FWHM_1_1.5	FWHM_1.5_2	FWHM_2_2.5	FWHM_2.5_3	Prominences_0_0.5	Prominences_0.5_1	Prominences_1_1.5	Prominences_1.5_2	Prominences_2_2.5	Prominences_2.5_3	time_total_area	freq_total_area
124.16	-7.3408	-30.475	-1.7174	-4.2193	18.4102	105.7498	25.079646	-57.078368	3.439902	-7.348112	-10.001131	-4.619353	18.677475	-4.771964	0.547052	6.391809	0.0614	0.0842	0.0078	0.1229	0.045425	0.04002	12.5104	16.8433	10.0886	11.7301	12.16141667	1.18E+01	4.85E+02	35.52
99.52	-7.26	-26.645	-4.8134	-0.85495	14.6501	84.8699	24.854619	-55.469335	5.188673	-6.057778	-8.426476	-3.081737	18.510964	1.162379	-6.289109	7.808217	0.0563	0.0354	0.0561	0.0719	0.0735	0.0468	15.3564	11.5451	13.7898	13.1455	12.2683	1.18E+01	4.84E+02	40.77
78.88	-7.4203	-27.492	-4.6813	-1.4288	15.2475	63.6325	37.015996	-21.943848	5.598829	-5.671162	-8.267421	-2.76295	19.344664	1.350814	-4.695439	8.367524	0.0714	0.049509091	0.0744	0.1012	0.1154	0.04002	10.2948	13.0218	12.6315	10.3083	12.1903	1.18E+01	4.82E+02	40.04
82.72	-7.2894	-26.689	-4.3515	-1.9294	19.3361	63.3839	53.770817	-53.713784	4.608966	-6.569737	-9.015518	-3.642644	17.953328	-0.042541	-4.191998	7.291453	0.0056	0.0713	0.0661	0.1204	0.0175	0.0974	11.2665	11.8088	12.3448	12.8989	10.6144	1.36E+01	4.82E+02	46.68
102.08	-7.4098	-28.029	-4.2999	-1.3984	17.6433	84.4367	28.108563	-64.753208	5.096007	-6.369169	-8.735082	-3.318744	19.110454	0.080645	-5.239008	7.795961	0.04808	0.0709	0.0477	0.049	0.0475	0.0263	13.14939	13.8289	13.7748	12.8236	11.4308	1.12E+01	4.83E+02	41.62
79.36	-8.8117	-28.303	-5.8884	-2.3328	15.8457	63.5143	14.557197	-95.275119	6.042177	-6.417919	-10.71331	-3.679443	20.193877	2.414675	-4.881217	9.538047	0.04808	0.0182	0.04435	0.0386	0.0166	0.0095	13.14939	11.1917	12.39296667	12.2183	10.3278	1.00E+01	4.81E+02	42.55
119.52	-7.3547	-27.917	-4.6684	-0.13734	14.1002	105.4198	19.941655	-80.04878	6.140612	-4.806885	-7.652755	-2.088257	20.099169	2.195749	-7.309397	8.943772	0.0501	0.0437	0.079	0.0273	0.0698	0.0178	21.5525	13.5756	15.3969	12.6348	16.628	1.06E+01	4.81E+02	53.13
95.52	-7.4632	-26.829	-5.5238	-1.8446	20.9479	74.5721	21.914401	-58.398736	3.863725	-7.30193	-10.049852	-4.479753	17.278259	0.983819	-5.438238	6.714987	0.032	0.0256	0.0473	0.062881818	0.0363	0.0467	12.0721	12.9314	12.2172	11.98473636	12.2545	1.35E+01	4.87E+02	44.54
106.88	-7.4698	-27.141	-4.8665	-1.2893	21.8279	85.0521	34.331189	-32.763593	4.84494	-6.445108	-9.159235	-3.569637	18.415506	0.854713	-5.935992	7.635038	0.1022	0.0596	0.0568	0.0749	0.0443	0.0236	13.1897	14.2649	10.7433	12.0164	12.6443	1.03E+01	4.94E+02	50.71
83.36	-7.391	-27.297	-4.9921	-0.96827	19.24	64.12	14.014211	-33.787611	4.486895	-6.842087	-9.343262	-3.882344	18.135387	0.646058	-6.922582	7.20413	0.0576	0.0497	0.0195	0.0456	0.0344	0.0298	10.9277	13.4618	12.186	11.1236	14.4309	1.26E+01	4.93E+02	46.48
83.68	-7.4685	-27.339	-3.8651	-1.0348	19.4651	64.2149	29.287154	-24.593932	4.766847	-6.408687	-9.322855	-3.637773	18.436547	-0.610994	-6.735905	7.564979	0.0178	0.049509091	0.0227	0.029	0.0264	0.0444	11.5256	13.0218	11.1304	11.7502	10.5929	1.13E+01	4.94E+02	45.61
81.92	-7.4031	-27.255	-4.4222	-1.1869	18.9615	62.9585	46.706428	-24.036021	4.778186	-6.5168	-9.111761	-3.59982	18.405467	0.116432	-6.144603	7.504789	0.0264	0.0307	0.0456	0.062881818	0.0163	0.04002	12.7982	10.1018	12.9539	11.98473636	12.2047	1.18E+01	4.81E+02	37.54
97.6	-7.4899	-29.9	-4.7682	0.64497	14.1553	83.4447	22.102501	-19.948259	4.933041	-8.15046	-9.054264	-4.070675	19.883134	-0.998154	-10.666686	7.164205	0.04808	0.0553	0.0092	0.0109	0.0471	0.0579	13.14939	13.6865	11.4584	11.1824	10.3501	1.33E+01	4.77E+02	40.08
