PeaktoPeak_Amplitude	PASA_slope_0_3	PASA_slope_0_1	PASA_slope_1_2	PASA_slope_2_3	Amplitude_positive_peak	Amplitude_negative_peak	Positive_slope	Negative_slope	midbandfit_0_1	midbandfit_1_2	midbandfit_2_3	midbandfit_0_3	intercept_0_1	intercept_1_2	intercept_2_3	intercept_0_3	FWHM_0.5_1	FWHM_1_1.5	FWHM_2_2.5	Prominences_0.5_1	Prominences_1_1.5	Prominences_2_2.5	time_total_area	freq_total_area
0.9216	-5.4216	-17.819	-1.6154	-2.424	0.2537	0.6679	0.061373	-0.418315	-33.4311	-42.796328	-43.788807	-39.995389	-24.521578	-40.373221	-37.728734	-31.863055	0.0347	0.0275875	0.024	38.4617	17.510075	14.7763	4.4912576	33.82
1.024	-5.2141	-17.024	-0.9327	-1.872	0.2751	0.7489	0.408175	-0.241034	-32.905579	-42.183137	-42.967704	-39.342275	-24.393786	-40.784085	-38.287692	-31.521149	0.0355	0.0275875	0.0582	39.8073	17.510075	12.823	4.5396456	29.08
1.0536	-4.3693	-17.078	-1.0016	-2.7557	0.2487	0.8049	0.27186	-0.30515	-34.049153	-42.500493	-42.120814	-39.547496	-25.510042	-40.998028	-35.23162	-32.993587	0.0329	0.0275875	0.0236	37.5654	17.510075	15.6785	4.5467608	29.4
0.9784	-4.7163	-19.007	-0.78161	-2.2287	0.2597	0.7187	0.199548	-0.364985	-33.551564	-41.848195	-42.304238	-39.223742	-24.048041	-40.67578	-36.732521	-32.149233	0.0343	0.0275875	0.0321	36.7746	17.510075	10.3838	4.5345112	25.06
1.0296	-4.6968	-17.244	-0.92605	-1.8191	0.2092	0.8204	0.177747	-0.258843	-33.52308	-41.744903	-42.405405	-39.214421	-24.90124	-40.355828	-37.857598	-32.16916	0.037	0.0275875	0.0244	38.3086	17.510075	12.4183	4.5070168	30.4
0.9376	-5.1161	-18.653	-1.8902	-3.5967	0.2421	0.6955	0.253723	-0.178721	-33.343592	-42.53382	-42.818377	-39.555461	-24.017111	-39.698581	-33.826551	-31.88125	0.0359	0.0299	0.0348	39.3502	10.9596	14.7047	4.5007528	26.37
1.2104	-6.127	-22.543	-1.7306	-2.2417	0.249	0.9614	0.213817	-0.033747	-33.363302	-43.793491	-44.913565	-40.676902	-22.091814	-41.197581	-39.309422	-31.486474	0.034	0.0286	0.027	36.8621	10.1119	16.9742	4.8077472	30.66
0.7776	-5.4384	-18.637	-1.8754	-2.2279	0.1823	0.5953	0.333271083	-0.233998667	-34.064826	-43.33431	-44.385775	-40.584288	-24.746495	-40.521212	-38.815909	-32.426631	0.0325	0.0251	0.0217	32.517	17.6897	15.4148	4.781664	30.01
1.1872	-5.7806	-21.379	-3.4089	-3.0863	0.2391	0.9481	0.218294	-0.199735	-33.95611	-43.409412	-44.612654	-40.647483	-23.266614	-38.296041	-36.896991	-31.97663	0.0297	0.027	0.0448	32.1051	19.4464	13.2662	4.7366912	28.87
1.0376	-5.9034	-18.827	-3.0101	-1.8754	0.4078	0.6298	0.487863	-0.290116	-33.610489	-43.372569	-44.898697	-40.616215	-24.19689	-38.857485	-40.21032	-31.761154	0.0357	0.0281	0.0405	40.609	23.9572	11.1072	4.67552	30.26
1.1608	-6.4336	-20.566	-4.7297	-1.7406	0.2913	0.8695	0.29695	-0.029839	-32.355172	-42.360671	-44.558	-39.745692	-22.072392	-35.266056	-40.206578	-30.095365	0.0369	0.0286	0.0334	38.4929	16.2015	13.92925455	4.6911104	28.27
1.0648	-5.6653	-17.834	-2.6509	-1.9017	0.3083	0.7565	0.307267	-0.265204	-33.59559	-43.11103	-44.45961	-40.378371	-24.678782	-39.13463	-39.705481	-31.880495	0.0482	0.0278	0.0334	35.0764	20.8336	13.92925455	4.8566784	39.68
1.3272	-5.9336	-17.544	-2.9903	-1.3852	0.4187	0.9085	1.102636	-0.222295	-33.071725	-43.691772	-44.581318	-40.437752	-24.299891	-39.206276	-41.118317	-31.537323	0.0376	0.0256	0.0363	45.3927	20.8807	15.6748	4.8380056	29.64
